"","PLT","LAT","YEAR","LON","treeNumber","plotArea","totalBiomass","biomassDensity","sumBasalArea","averageBasalArea","treeNumberArea"
"84","PLT_00000082",-0.912507867,2006,-59.71641882,147,0.25,88831.0813098677,355324.325239471,69974.8580572818,279899.432229127,588
"85","PLT_00000083",-0.9132334,2015,29.6970333,549,1,275599.269485533,275599.269485533,303519.727766846,303519.727766846,549
"86","PLT_00000084",-0.922863282,2006,-59.7260128,115,0.25,87964.4798717981,351857.919487192,68201.4740989433,272805.896395773,460
"87","PLT_00000085",-0.923015567,2006,-59.71580967,133,0.25,78559.6465474438,314238.586189775,61090.2720875523,244361.088350209,532
"88","PLT_00000086",-1.0125,2015,29.7063833,602,1,337182.840821301,337182.840821301,326941.243477154,326941.243477154,602
"89","PLT_00000087",-1.0246833,2015,29.6390166,611,1,514961.482247078,514961.482247078,472513.159434691,472513.159434691,611
"90","PLT_00000088",-1.0573,2015,29.7606833,264,1,314810.50961967,314810.50961967,256979.875745265,256979.875745265,264
"91","PLT_00000089",-1.066667,1987,-77.6,216,0.1,42025.1012367552,420251.012367552,43795.3723873685,437953.723873685,2160
"92","PLT_00000090",-1.0953,2015,29.7177333,441,1,302694.298245146,302694.298245146,268068.661086861,268068.661086861,441
"93","PLT_00000091",-1.1322,2006,11.149467,423,1,371888.962738624,371888.962738624,323448.284105613,323448.284105613,423
"94","PLT_00000092",-1.14655,2006,11.16285,393,1,383963.952506642,383963.952506642,333586.528753587,333586.528753587,393
"95","PLT_00000093",-1.1,2010,-77.6,752,1,200667.019382132,200667.019382132,247903.076294771,247903.076294771,752
"96","PLT_00000094",-1.1,2010,-77.6,622,1,230979.446756111,230979.446756111,260884.922537567,260884.922537567,622
"97","PLT_00000095",-1.1,2010,-77.6,794,1,311769.104751464,311769.104751464,343841.032750096,343841.032750096,794
"98","PLT_00000096",-1.1,1980,-79.633333,213,0.1,25074.9761504983,250749.761504983,27603.211151685,276032.11151685,2130
"99","PLT_00000097",-1.2095,2006,11.104583,502,1,489468.23711961,489468.23711961,397091.988377697,397091.988377697,502
"100","PLT_00000098",-1.236117,2006,11.111967,554,1,578368.093577688,578368.093577688,477227.890550939,477227.890550939,554
"101","PLT_00000099",-1.236717,2006,11.11735,623,1,511503.728219245,511503.728219245,451546.220722815,451546.220722815,623
"102","PLT_00000100",-1.30528,2007,13.7175,426,1,418599.497838908,418599.497838908,376561.917835871,376561.917835871,426
"103","PLT_00000100",-1.30528,2004,13.7175,445,1,407343.6583556,407343.6583556,370212.475232548,370212.475232548,445
"104","PLT_00000101",-1.3987,2004,13.73054,423,1,380121.131966168,380121.131966168,355309.916485821,355309.916485821,423
"105","PLT_00000101",-1.3987,2006,13.73054,440,1,413419.372953011,413419.372953011,385161.2706267,385161.2706267,440
"106","PLT_00000101",-1.3987,2003,13.73054,9,1,12273.2466782214,12273.2466782214,13052.3120600772,13052.3120600772,9
"107","PLT_00000102",-1.58566,2004,13.76421,531,1,345927.715027955,345927.715027955,349663.3824232,349663.3824232,531
"108","PLT_00000102",-1.58566,2006,13.76421,530,1,377015.281616671,377015.281616671,374809.632222794,374809.632222794,530
"109","PLT_00000102",-1.58566,2003,13.76421,14,1,13456.5205611964,13456.5205611964,13899.4738176194,13899.4738176194,14
"110","PLT_00000103",-1.5,1984,-47.983333,158,0.1,56603.5254713564,566035.254713564,41796.1413624403,417961.413624403,1580
"111","PLT_00000104",-1.62808,2004,13.77603,471,1,291084.827064533,291084.827064533,312088.783700074,312088.783700074,471
"112","PLT_00000104",-1.62808,2006,13.77603,474,1,314894.390400365,314894.390400365,336259.402548695,336259.402548695,474
