"","GFBIRawName","family","genus","species","meanWD","sdWD","levelWD","nInd"
"8651","Eschweilera amazonica","Lecythidaceae","Eschweilera","amazonica",0.9,0.0708232617216773,"species",1
"8652","Eschweilera amazoniciformis","Lecythidaceae","Eschweilera","amazoniciformis",0.823,0.0708232617216773,"species",1
"8653","Eschweilera andina","Lecythidaceae","Eschweilera","andina",0.825263020833333,0.0941339098036177,"genus",32
"8654","Eschweilera antioquensis","Lecythidaceae","Eschweilera","antioquensis",0.825263020833333,0.0941339098036177,"genus",32
"8655","Eschweilera apiculata","Lecythidaceae","Eschweilera","apiculata",0.825263020833333,0.0941339098036177,"genus",32
"8656","Eschweilera atropetiolata","Lecythidaceae","Eschweilera","atropetiolata",0.753,0.0708232617216773,"species",1
"8657","Eschweilera bracteosa","Lecythidaceae","Eschweilera","bracteosa",0.825263020833333,0.0941339098036177,"genus",32
"8658","Eschweilera carinata","Lecythidaceae","Eschweilera","carinata",0.782,0.0708232617216773,"species",1
"8659","Eschweilera caudiculata","Lecythidaceae","Eschweilera","caudiculata",0.825263020833333,0.0941339098036177,"genus",32
"8660","Eschweilera chartaceifolia","Lecythidaceae","Eschweilera","chartaceifolia",0.825263020833333,0.0941339098036177,"genus",32
"8661","Eschweilera collina","Lecythidaceae","Eschweilera","collina",0.7785,0.0708232617216773,"species",2
"8662","Eschweilera collinsii","Lecythidaceae","Eschweilera","collinsii",0.825263020833333,0.0941339098036177,"genus",32
"8663","Eschweilera confertiflora","Lecythidaceae","Eschweilera","confertiflora",0.825263020833333,0.0941339098036177,"genus",32
"8664","Eschweilera congestiflora","Lecythidaceae","Eschweilera","congestiflora",0.86,0.0708232617216773,"species",1
"8665","Eschweilera coriacea","Lecythidaceae","Eschweilera","coriacea",0.852083333333333,0.0708232617216773,"species",12
"8666","Eschweilera corrugata","Lecythidaceae","Eschweilera","corrugata",0.825263020833333,0.0941339098036177,"genus",32
"8667","Eschweilera costaricensis","Lecythidaceae","Eschweilera","costaricensis",0.825263020833333,0.0941339098036177,"genus",32
"8668","Eschweilera cyathiformis","Lecythidaceae","Eschweilera","cyathiformis",0.825263020833333,0.0941339098036177,"genus",32
"8669","Eschweilera decolorans","Lecythidaceae","Eschweilera","decolorans",0.825263020833333,0.0941339098036177,"genus",32
"8670","Eschweilera floribunda","Lecythidaceae","Eschweilera","floribunda",0.825263020833333,0.0941339098036177,"genus",32
"8671","Eschweilera gigantea","Lecythidaceae","Eschweilera","gigantea",0.78,0.0708232617216773,"species",1
"8672","Eschweilera grandiflora","Lecythidaceae","Eschweilera","grandiflora",0.876,0.0708232617216773,"species",2
"8673","Eschweilera grata","Lecythidaceae","Eschweilera","grata",0.825263020833333,0.0941339098036177,"genus",32
"8674","Eschweilera integricalyx","Lecythidaceae","Eschweilera","integricalyx",0.825263020833333,0.0941339098036177,"genus",32
"8675","Eschweilera integrifolia","Lecythidaceae","Eschweilera","integrifolia",0.825263020833333,0.0941339098036177,"genus",32
"8676","Eschweilera itayensis","Lecythidaceae","Eschweilera","itayensis",0.825263020833333,0.0941339098036177,"genus",32
"8677","Eschweilera juruensis","Lecythidaceae","Eschweilera","juruensis",0.96,0.0708232617216773,"species",1
"8678","Eschweilera laevicarpa","Lecythidaceae","Eschweilera","laevicarpa",0.825263020833333,0.0941339098036177,"genus",32
"8679","Eschweilera longipes","Lecythidaceae","Eschweilera","longipes",0.69,0.0708232617216773,"species",1
"8680","Eschweilera longirachis","Lecythidaceae","Eschweilera","longirachis",0.825263020833333,0.0941339098036177,"genus",32
"8681","Eschweilera mattos-silvae","Lecythidaceae","Eschweilera","mattos-silvae",0.825263020833333,0.0941339098036177,"genus",32
"8682","Eschweilera micrantha","Lecythidaceae","Eschweilera","micrantha",0.86,0.0708232617216773,"species",1
"8683","Eschweilera neei","Lecythidaceae","Eschweilera","neei",0.825263020833333,0.0941339098036177,"genus",32
"8684","Eschweilera obversa","Lecythidaceae","Eschweilera","obversa",0.825263020833333,0.0941339098036177,"genus",32
"8685","Eschweilera odora","Lecythidaceae","Eschweilera","odora",0.796666666666667,0.0708232617216773,"species",3
"8686","Eschweilera ovalifolia","Lecythidaceae","Eschweilera","ovalifolia",0.825263020833333,0.0941339098036177,"genus",32
"8687","Eschweilera ovata","Lecythidaceae","Eschweilera","ovata",0.9,0.0708232617216773,"species",3
"8688","Eschweilera panamensis","Lecythidaceae","Eschweilera","panamensis",0.825263020833333,0.0941339098036177,"genus",32
"8689","Eschweilera parviflora","Lecythidaceae","Eschweilera","parviflora",0.918,0.0708232617216773,"species",2
"8690","Eschweilera parvifolia","Lecythidaceae","Eschweilera","parvifolia",0.86,0.0708232617216773,"species",2
"8691","Eschweilera pedicellata","Lecythidaceae","Eschweilera","pedicellata",0.908666666666667,0.0708232617216773,"species",3
"8692","Eschweilera pittieri","Lecythidaceae","Eschweilera","pittieri",0.86,0.0708232617216773,"species",1
"8693","Eschweilera pseudodecolorans","Lecythidaceae","Eschweilera","pseudodecolorans",0.825263020833333,0.0941339098036177,"genus",32
"8694","Eschweilera punctata","Lecythidaceae","Eschweilera","punctata",0.825263020833333,0.0941339098036177,"genus",32
"8695","Eschweilera rankiniae","Lecythidaceae","Eschweilera","rankiniae",0.825263020833333,0.0941339098036177,"genus",32
"8696","Eschweilera rhododendrifolia","Lecythidaceae","Eschweilera","rhododendrifolia",0.825263020833333,0.0941339098036177,"genus",32
"8697","Eschweilera rodriguesiana","Lecythidaceae","Eschweilera","rodriguesiana",0.762,0.0708232617216773,"species",1
"8698","Eschweilera romeu-cardosoi","Lecythidaceae","Eschweilera","romeu-cardosoi",0.825263020833333,0.0941339098036177,"genus",32
"8699","Eschweilera rufifolia","Lecythidaceae","Eschweilera","rufifolia",0.825263020833333,0.0941339098036177,"genus",32
"8700","Eschweilera sagotiana","Lecythidaceae","Eschweilera","sagotiana",0.8,0.0708232617216773,"species",4
"8701","Eschweilera sclerophylla","Lecythidaceae","Eschweilera","sclerophylla",0.825263020833333,0.0941339098036177,"genus",32
"8702","Eschweilera simiorum","Lecythidaceae","Eschweilera","simiorum",0.86,0.0708232617216773,"species",1
"8756","Eschweilera sppAllpahua1","Lecythidaceae","Eschweilera",NA,0.825263020833333,0.0941339098036177,"genus",32
"8737","Eschweilera sppAllpahua2","Lecythidaceae","Eschweilera",NA,0.825263020833333,0.0941339098036177,"genus",32
"8726","Eschweilera sppAnchicay1","Lecythidaceae","Eschweilera",NA,0.825263020833333,0.0941339098036177,"genus",32
"8717","Eschweilera sppAnchicay2","Lecythidaceae","Eschweilera",NA,0.825263020833333,0.0941339098036177,"genus",32
"8741","Eschweilera sppAntado1","Lecythidaceae","Eschweilera",NA,0.825263020833333,0.0941339098036177,"genus",32
