"","FID","PLT","LAT","LON","Year","SPCD","DBH","TPH","WWF_Biome","Biomass"
"216",132457,"GAB-RIV11",-0.079111,12.334306,2001,"Diogoa zenkeri",13.10000038,1,1,100.314977899644
"217",132455,"GAB-RIV11",-0.079111,12.334306,2004,"Diogoa zenkeri",13.39999962,1,1,106.294087536823
"218",132452,"GAB-RIV11",-0.079111,12.334306,2001,"Diogoa zenkeri",13.69999981,1,1,112.48016688705
"219",132453,"GAB-RIV11",-0.079111,12.334306,2001,"Diogoa zenkeri",13.69999981,1,1,112.48016688705
"220",132450,"GAB-RIV11",-0.079111,12.334306,2004,"Diogoa zenkeri",14.60000038,1,1,132.301000266916
"221",132449,"GAB-RIV11",-0.079111,12.334306,2001,"Diogoa zenkeri",14.69999981,1,1,134.621847304895
"222",132448,"GAB-RIV11",-0.079111,12.334306,2004,"Diogoa zenkeri",14.80000019,1,1,136.966698203717
"223",132447,"GAB-RIV11",-0.079111,12.334306,2001,"Diogoa zenkeri",15.30000019,1,1,149.05318044046
"224",132446,"GAB-RIV11",-0.079111,12.334306,2004,"Diogoa zenkeri",15.60000038,1,1,156.597477564121
"225",132445,"GAB-RIV11",-0.079111,12.334306,2004,"Diogoa zenkeri",15.80000019,1,1,161.750015775726
"226",132444,"GAB-RIV11",-0.079111,12.334306,2001,"Diogoa zenkeri",16.70000076,1,1,186.170301367161
"227",132441,"GAB-RIV11",-0.079111,12.334306,2001,"Diogoa zenkeri",17.29999924,1,1,203.589313901372
"228",132440,"GAB-RIV11",-0.079111,12.334306,2001,"Diogoa zenkeri",17.89999962,1,1,221.936043212752
"229",132443,"GAB-RIV11",-0.079111,12.334306,2004,"Diogoa zenkeri",17,1,1,194.764725248055
"230",132438,"GAB-RIV11",-0.079111,12.334306,2004,"Diogoa zenkeri",18.70000076,1,1,247.865133387312
"231",132435,"GAB-RIV11",-0.079111,12.334306,2001,"Diogoa zenkeri",21.5,1,1,352.243506298999
"232",132434,"GAB-RIV11",-0.079111,12.334306,2004,"Diogoa zenkeri",21.70000076,1,1,360.532158734555
"233",132433,"GAB-RIV11",-0.079111,12.334306,2001,"Diogoa zenkeri",21.79999924,1,1,364.718915572496
"234",132430,"GAB-RIV11",-0.079111,12.334306,2004,"Diogoa zenkeri",22.29999924,1,1,386.080258390459
"235",132428,"GAB-RIV11",-0.079111,12.334306,2004,"Diogoa zenkeri",22.5,1,1,394.825197806288
"236",132429,"GAB-RIV11",-0.079111,12.334306,2001,"Diogoa zenkeri",22.5,1,1,394.825197806288
"237",132431,"GAB-RIV11",-0.079111,12.334306,2001,"Diogoa zenkeri",22,1,1,373.177876989832
