Name_submitted,Name_matched,Author_matched,Overall_score,Taxonomic_status,Accepted_name,Accepted_author,Accepted_family,Source,Warnings,Accepted_name_lsid
Capparis erythrocarpos,Capparis erythrocarpos,,1,Accepted,Capparis erythrocarpos,Isert,Capparaceae,tpl, ,
Capparis flexuosa,Capparis flexuosa,,1,Synonym,Cynophalla flexuosa,(L.) J.Presl,Capparaceae,tpl, [Ambiguous match] ,
Capparis frondosa,Capparis frondosa,,1,Synonym,Capparidastrum frondosum,(Jacq.) Cornejo & Iltis,Capparaceae,tpl;tropicos, ,
Capparis guaguaensis,Capparis guaguaensis,,1,Synonym,Capparidastrum osmanthum,(Diels) Cornejo & Iltis,Capparaceae,tpl;tropicos, ,
Capparis hastata,Capparis hastata,,1,Synonym,Cynophalla hastata,(Jacq.) J.Presl,Capparaceae,tpl, ,
Capparis heydeana,Capparis heydeana,,1,Accepted,Capparis heydeana,Donn.Sm.,Capparaceae,tpl, ,
Capparis indica,Capparis indica,,1,Accepted,Capparis indica,(L.) Druce,Capparaceae,tpl;usda, ,
Capparis lanceolaris,Capparis lanceolaris,,1,Accepted,Capparis lanceolaris,DC.,Capparaceae,tpl;tropicos, ,
Capparis macrophylla,Capparis macrophylla,,1,Synonym,Capparidastrum macrophyllum,(Kunth) Hutch.,Capparaceae,tpl, ,
Capparis micracantha,Capparis micracantha,,1,Accepted,Capparis micracantha,DC.,Capparaceae,tpl;tropicos, ,
Capparis odoratissima,Capparis odoratissima,,1,Synonym,Quadrella odoratissima,(Jacq.) Hutch.,Capparaceae,tpl;tropicos, ,
Capparis osmantha,Capparis osmantha,,1,Synonym,Capparidastrum osmanthum,(Diels) Cornejo & Iltis,Capparaceae,tpl;tropicos, ,
Capparis pachaca,Capparis pachaca,,1,Synonym,Capparidastrum pachaca,(Kunth) Hutch.,Capparaceae,tpl;tropicos, ,
Capparis petiolaris,Capparis petiolaris,,1,Synonym,Capparidastrum frondosum,(Jacq.) Cornejo & Iltis,Capparaceae,tpl, [Ambiguous match] ,
Capparis pittieri,Capparis pittieri,,1,Accepted,Capparis pittieri,Standl.,Capparaceae,tpl, ,
Capparis prisca,Capparis prisca,,1,Synonym,Capparidastrum petiolare,(Kunth) Hutch.,Capparaceae,tpl, ,
Capparis quina,Capparis quina,,1,Synonym,Capparidastrum quinum,(J.F.Macbr.) Cornejo & Iltis,Capparaceae,tpl, ,
Capparis retusa,Capparis retusa,,1,Synonym,Cynophalla retusa,(Griseb.) Cornejo & Iltis,Capparaceae,tpl;tropicos, ,
Capparis salicifolia,Capparis salicifolia,,1,Accepted,Capparis salicifolia,Griseb.,Capparaceae,tpl, ,
Capparis schunkei,Capparis schunkei,,1,Synonym,Capparis detonsa,Triana & Planch.,Capparaceae,tpl, ,
Capparis sola,Capparis sola,,1,Synonym,Capparidastrum sola,(J.F.Macbr.) Cornejo & Iltis,Capparaceae,tpl, ,
