Name_submitted,Name_matched,Author_matched,Overall_score,Taxonomic_status,Accepted_name,Accepted_author,Accepted_family,Source,Warnings,Accepted_name_lsid
"105"",""Lansium domesticum",Lansium domesticum,,0.9,Synonym,Lansium parasiticum,(Osbeck) K.C.Sahni & Bennet,Meliaceae,tpl, ,
"106"",""Lansium domesticum",Lansium domesticum,,0.9,Synonym,Lansium parasiticum,(Osbeck) K.C.Sahni & Bennet,Meliaceae,tpl, ,
"107"",""Lansium domesticum",Lansium domesticum,,0.9,Synonym,Lansium parasiticum,(Osbeck) K.C.Sahni & Bennet,Meliaceae,tpl, ,
"108"",""Lansium domesticum",Lansium domesticum,,0.9,Synonym,Lansium parasiticum,(Osbeck) K.C.Sahni & Bennet,Meliaceae,tpl, ,
"109"",""Lansium domesticum",Lansium domesticum,,0.9,Synonym,Lansium parasiticum,(Osbeck) K.C.Sahni & Bennet,Meliaceae,tpl, ,
"110"",""Lansium domesticum",Lansium domesticum,,0.9,Synonym,Lansium parasiticum,(Osbeck) K.C.Sahni & Bennet,Meliaceae,tpl, ,
"111"",""Lansium domesticum",Lansium domesticum,,0.9,Synonym,Lansium parasiticum,(Osbeck) K.C.Sahni & Bennet,Meliaceae,tpl, ,
"112"",""Lansium domesticum",Lansium domesticum,,0.9,Synonym,Lansium parasiticum,(Osbeck) K.C.Sahni & Bennet,Meliaceae,tpl, ,
"113"",""Lansium domesticum",Lansium domesticum,,0.9,Synonym,Lansium parasiticum,(Osbeck) K.C.Sahni & Bennet,Meliaceae,tpl, ,
"114"",""Lansium domesticum",Lansium domesticum,,0.9,Synonym,Lansium parasiticum,(Osbeck) K.C.Sahni & Bennet,Meliaceae,tpl, ,
"115"",""Lansium domesticum",Lansium domesticum,,0.9,Synonym,Lansium parasiticum,(Osbeck) K.C.Sahni & Bennet,Meliaceae,tpl, ,
"116"",""Lansium domesticum",Lansium domesticum,,0.9,Synonym,Lansium parasiticum,(Osbeck) K.C.Sahni & Bennet,Meliaceae,tpl, ,
"117"",""Lansium domesticum",Lansium domesticum,,0.9,Synonym,Lansium parasiticum,(Osbeck) K.C.Sahni & Bennet,Meliaceae,tpl, ,
"118"",""Lansium domesticum",Lansium domesticum,,0.9,Synonym,Lansium parasiticum,(Osbeck) K.C.Sahni & Bennet,Meliaceae,tpl, ,
"119"",""Lansium domesticum",Lansium domesticum,,0.9,Synonym,Lansium parasiticum,(Osbeck) K.C.Sahni & Bennet,Meliaceae,tpl, ,
"120"",""Lansium domesticum",Lansium domesticum,,0.9,Synonym,Lansium parasiticum,(Osbeck) K.C.Sahni & Bennet,Meliaceae,tpl, ,
"121"",""Lansium domesticum",Lansium domesticum,,0.9,Synonym,Lansium parasiticum,(Osbeck) K.C.Sahni & Bennet,Meliaceae,tpl, ,
"122"",""Lansium domesticum",Lansium domesticum,,0.9,Synonym,Lansium parasiticum,(Osbeck) K.C.Sahni & Bennet,Meliaceae,tpl, ,
"123"",""Lansium domesticum",Lansium domesticum,,0.9,Synonym,Lansium parasiticum,(Osbeck) K.C.Sahni & Bennet,Meliaceae,tpl, ,
"124"",""Lansium domesticum",Lansium domesticum,,0.9,Synonym,Lansium parasiticum,(Osbeck) K.C.Sahni & Bennet,Meliaceae,tpl, ,
"125"",""Lansium domesticum",Lansium domesticum,,0.9,Synonym,Lansium parasiticum,(Osbeck) K.C.Sahni & Bennet,Meliaceae,tpl, ,
"126"",""Lansium domesticum",Lansium domesticum,,0.9,Synonym,Lansium parasiticum,(Osbeck) K.C.Sahni & Bennet,Meliaceae,tpl, ,
"127"",""Lansium domesticum",Lansium domesticum,,0.9,Synonym,Lansium parasiticum,(Osbeck) K.C.Sahni & Bennet,Meliaceae,tpl, ,
"128"",""Lansium domesticum",Lansium domesticum,,0.9,Synonym,Lansium parasiticum,(Osbeck) K.C.Sahni & Bennet,Meliaceae,tpl, ,
"129"",""Lansium domesticum",Lansium domesticum,,0.9,Synonym,Lansium parasiticum,(Osbeck) K.C.Sahni & Bennet,Meliaceae,tpl, ,
"130"",""Lansium domesticum",Lansium domesticum,,0.9,Synonym,Lansium parasiticum,(Osbeck) K.C.Sahni & Bennet,Meliaceae,tpl, ,
"131"",""Lansium domesticum",Lansium domesticum,,0.9,Synonym,Lansium parasiticum,(Osbeck) K.C.Sahni & Bennet,Meliaceae,tpl, ,
"132"",""Lansium domesticum",Lansium domesticum,,0.9,Synonym,Lansium parasiticum,(Osbeck) K.C.Sahni & Bennet,Meliaceae,tpl, ,
"133"",""Lansium domesticum",Lansium domesticum,,0.9,Synonym,Lansium parasiticum,(Osbeck) K.C.Sahni & Bennet,Meliaceae,tpl, ,
"134"",""Lansium domesticum",Lansium domesticum,,0.9,Synonym,Lansium parasiticum,(Osbeck) K.C.Sahni & Bennet,Meliaceae,tpl, ,
"135"",""Lansium domesticum",Lansium domesticum,,0.9,Synonym,Lansium parasiticum,(Osbeck) K.C.Sahni & Bennet,Meliaceae,tpl, ,
"136"",""Lansium domesticum",Lansium domesticum,,0.9,Synonym,Lansium parasiticum,(Osbeck) K.C.Sahni & Bennet,Meliaceae,tpl, ,
"137"",""Lansium domesticum",Lansium domesticum,,0.9,Synonym,Lansium parasiticum,(Osbeck) K.C.Sahni & Bennet,Meliaceae,tpl, ,
"138"",""Lansium domesticum",Lansium domesticum,,0.9,Synonym,Lansium parasiticum,(Osbeck) K.C.Sahni & Bennet,Meliaceae,tpl, ,
"139"",""Lansium domesticum",Lansium domesticum,,0.9,Synonym,Lansium parasiticum,(Osbeck) K.C.Sahni & Bennet,Meliaceae,tpl, ,
"140"",""Lansium domesticum",Lansium domesticum,,0.9,Synonym,Lansium parasiticum,(Osbeck) K.C.Sahni & Bennet,Meliaceae,tpl, ,
"141"",""Lansium domesticum",Lansium domesticum,,0.9,Synonym,Lansium parasiticum,(Osbeck) K.C.Sahni & Bennet,Meliaceae,tpl, ,
"142"",""Lansium domesticum",Lansium domesticum,,0.9,Synonym,Lansium parasiticum,(Osbeck) K.C.Sahni & Bennet,Meliaceae,tpl, ,
"143"",""Lansium domesticum",Lansium domesticum,,0.9,Synonym,Lansium parasiticum,(Osbeck) K.C.Sahni & Bennet,Meliaceae,tpl, ,
"144"",""Lansium domesticum",Lansium domesticum,,0.9,Synonym,Lansium parasiticum,(Osbeck) K.C.Sahni & Bennet,Meliaceae,tpl, ,
"145"",""Lansium domesticum",Lansium domesticum,,0.9,Synonym,Lansium parasiticum,(Osbeck) K.C.Sahni & Bennet,Meliaceae,tpl, ,
"146"",""Lansium domesticum",Lansium domesticum,,0.9,Synonym,Lansium parasiticum,(Osbeck) K.C.Sahni & Bennet,Meliaceae,tpl, ,
"147"",""Durio zibethinus",Durio zibethinus,,0.9,Accepted,Durio zibethinus,L.,Malvaceae,tpl, ,
"148"",""Durio zibethinus",Durio zibethinus,,0.9,Accepted,Durio zibethinus,L.,Malvaceae,tpl, ,
"149"",""Durio zibethinus",Durio zibethinus,,0.9,Accepted,Durio zibethinus,L.,Malvaceae,tpl, ,
"150"",""Durio zibethinus",Durio zibethinus,,0.9,Accepted,Durio zibethinus,L.,Malvaceae,tpl, ,
"151"",""Durio zibethinus",Durio zibethinus,,0.9,Accepted,Durio zibethinus,L.,Malvaceae,tpl, ,
"152"",""Durio zibethinus",Durio zibethinus,,0.9,Accepted,Durio zibethinus,L.,Malvaceae,tpl, ,
"153"",""Durio zibethinus",Durio zibethinus,,0.9,Accepted,Durio zibethinus,L.,Malvaceae,tpl, ,
"154"",""Durio zibethinus",Durio zibethinus,,0.9,Accepted,Durio zibethinus,L.,Malvaceae,tpl, ,
"155"",""Durio zibethinus",Durio zibethinus,,0.9,Accepted,Durio zibethinus,L.,Malvaceae,tpl, ,
"156"",""Durio zibethinus",Durio zibethinus,,0.9,Accepted,Durio zibethinus,L.,Malvaceae,tpl, ,
