"","binomial"
"625","Almeidea coerulea"
"626","Alniphyllum fortunei"
"627","Alnus acuminata"
"628","Alnus firmifolia"
"629","Alocasia macrorhiza"
"630","Aloysia virgata"
"631","Alphitonia carolinensis"
"632","Alphitonia macrocarpa"
"633","Alphitonia neocaledonica"
"634","Alphitonia sppPacific1"
"635","Alphitonia zizyphoides"
"636","Alphonsea elliptica"
"637","Alphonsea maingayi"
"638","Alseis blackiana"
"639","Alseis eggersii"
"640","Alseis floribunda"
"641","Alseis labatioides"
"642","Alseis lugonis"
"643","Alseis microcarpa"
"644","Alseis peruviana"
"645","Alseis sppCandamo1"
"646","Alseis sppFPnet1"
"647","Alseis sppPE1"
"648","Alseis sppRAINFOR1"
"649","Alseis sppRioheath1"
"650","Alseis sppSCA1"
"651","Alseis yucatanensis"
"652","Alseodaphne falcata"
"653","Alseodaphne glomenta"
"654","Alseodaphne helophila"
"655","Alseodaphne intermedia"
"656","Alseodaphne nigrescens"
"657","Alseodaphne peduncularis"
"658","Alseodaphne sp1"
"659","Alseodaphne sppAvalanch1"
"660","Alseodaphne sppAvalanch2"
"661","Alseodaphne sppGenting1"
"662","Alseodaphne sppPasoh401"
"663","Alseodaphne sppTEAM1"
"664","Alsodeiopsis weissenborniana"
"665","Alsophila cuspidata"
"666","Alsophila erinacea"
"667","Alsophila firma"
"668","Alsophila portoricensis"
"669","Alsophila stelligera"
"670","Alsophila sternbergii"
"671","Alsophila vieillardii"
"672","Alstonia angustiloba"
"673","Alstonia boonei"
"674","Alstonia comptonii"
"675","Alstonia costata"
"676","Alstonia lanceolata"
"677","Alstonia macrophylla"
"678","Alstonia pacifica"
"679","Alstonia parvifolia"
"680","Alstonia plumosa"
"681","Alstonia scholaris"
"682","Alstonia spectabilis"
"683","Alstonia sphaerocapitata"
"684","Alstonia sppGA1"
"685","Alstonia sppGentry1"
"686","Alstonia sppNewcaldo1"
"687","Alstonia sppPacific1"
"688","Alstonia sppTEAM1"
"689","Alstonia vitiense"
"690","Alstonia vitiensis"
"691","Altingia excelsa"
"692","Alyxia leucogyne"
"693","Alyxia sppGenting1"
"694","Alyxia sppGentry1"
"695","Alyxia sppNewcaldo1"
"696","Alyxia sppNewcaldo2"
"697","Alyxia sppNewcaldo3"
"698","Alzatea sppAchupall1"
"699","Alzatea verticillata"
"700","Amaioua corymbosa"
"701","Amaioua glomerulata"
"702","Amaioua guianensis"
"703","Amaioua intermedia"
"704","Amaioua pedicellata"
"705","Amaioua pilosa"
"706","Amaioua sppBelem1"
"707","Amaioua sppBoraceia1"
"708","Amaioua sppCalima1"
"709","Amaioua sppFPnet1"
"710","Amaioua sppGF1"
"711","Amaioua sppIndiana1"
"712","Amaioua sppMishnfl1"
"713","Amaioua sppRAINFOR1"
"714","Amaioua sppRioheath1"
"715","Amaioua sppRiomanso1"
"716","Amania sppProviden1"
"717","Amanoa bracteosa"
"718","Amanoa congesta"
"719","Amanoa guianensis"
"720","Amanoa oblongifolia"
"721","Amanoa sppFPnet1"
