Name_submitted,Name_matched,Author_matched,Overall_score,Taxonomic_status,Accepted_name,Accepted_author,Accepted_family,Source,Warnings,Accepted_name_lsid,user_id
Acacia harpophylla,Acacia harpophylla,,1,Accepted,Acacia harpophylla,F.Muell. ex Benth.,Fabaceae,ildis, ,,126
Acacia harpophylla,Acacia harpophylla,,1,Accepted,Acacia harpophylla,F.Muell. ex Benth.,Fabaceae,ildis, ,,127
Acacia harpophylla,Acacia harpophylla,,1,Accepted,Acacia harpophylla,F.Muell. ex Benth.,Fabaceae,ildis, ,,128
Acacia hemignosta,Acacia hemignosta,,1,Accepted,Acacia hemignosta,F.Muell.,Fabaceae,ildis, ,,129
Acacia hemsleyi,Acacia hemsleyi,,1,Accepted,Acacia hemsleyi,Maiden,Fabaceae,ildis, ,,130
Acacia hindsii,Acacia hindsii,,1,Synonym,Vachellia hindsii,(Benth.) Seigler & Ebinger,Fabaceae,ildis, ,,131
Acacia holosericea,Acacia holosericea,,1,Accepted,Acacia holosericea,Cunn. ex Don,Fabaceae,ildis, ,,132
Acacia implexa,Acacia implexa,,1,Accepted,Acacia implexa,Benth.,Fabaceae,ildis;tropicos;usda, ,,133
Acacia implexa,Acacia implexa,,1,Accepted,Acacia implexa,Benth.,Fabaceae,ildis;tropicos;usda, ,,134
Acacia irrorata,Acacia irrorata,,1,No opinion,,,,tpl, ,,135
Acacia jennerae,Acacia jennerae,,1,Accepted,Acacia jennerae,Maiden in A.J.Ewart & O.B.Davies,Fabaceae,ildis, ,,136
Acacia karroo,Acacia karroo,,1,Accepted,Acacia karroo,,Fabaceae,tpl, ,,137
Acacia laccata,Acacia laccata,,1,Accepted,Acacia laccata,Pedley,Fabaceae,ildis, ,,138
Acacia lasiocalyx,Acacia lasiocalyx,,1,Accepted,Acacia lasiocalyx,C.R.P.Andrews,Fabaceae,ildis, ,,139
Acacia leucophloea,Acacia leucophloea,,1,Synonym,Vachellia leucophloea,"(Roxb.) Maslin, Seigler & Ebinger",Fabaceae,ildis, ,,140
Acacia longifolia,Acacia longifolia,,1,No opinion,,,,tpl, ,,141
Acacia maconochieana,Acacia maconochieana,,1,Accepted,Acacia maconochieana,Pedley,Fabaceae,ildis, ,,142
Acacia maconochieana,Acacia maconochieana,,1,Accepted,Acacia maconochieana,Pedley,Fabaceae,ildis, ,,143
Acacia macracantha,Acacia macracantha,,1,No opinion,,,,tpl, ,,144
Acacia maidenii,Acacia maidenii,,1,Accepted,Acacia maidenii,F.Muell.,Fabaceae,ildis, ,,145
Acacia mangium,Acacia mangium,,1,Accepted,Acacia mangium,Willd.,Fabaceae,ildis;tropicos;usda, ,,146
Acacia mangium,Acacia mangium,,1,Accepted,Acacia mangium,Willd.,Fabaceae,ildis;tropicos;usda, ,,147
Acacia mangium,Acacia mangium,,1,Accepted,Acacia mangium,Willd.,Fabaceae,ildis;tropicos;usda, ,,148
Acacia mangium,Acacia mangium,,1,Accepted,Acacia mangium,Willd.,Fabaceae,ildis;tropicos;usda, ,,149
Acacia mangium,Acacia mangium,,1,Accepted,Acacia mangium,Willd.,Fabaceae,ildis;tropicos;usda, ,,150
Acacia mangium,Acacia mangium,,1,Accepted,Acacia mangium,Willd.,Fabaceae,ildis;tropicos;usda, ,,151
Acacia mangium,Acacia mangium,,1,Accepted,Acacia mangium,Willd.,Fabaceae,ildis;tropicos;usda, ,,152
Acacia mayana,Acacia mayana,,1,Synonym,Vachellia mayana,(Lundell) Seigler & Ebinger,Fabaceae,ildis, ,,153
Acacia mearnsii,Acacia mearnsii,,1,Accepted,Acacia mearnsii,De Wildeman,Fabaceae,ildis, ,,154
Acacia mearnsii,Acacia mearnsii,,1,Accepted,Acacia mearnsii,De Wildeman,Fabaceae,ildis, ,,155
Acacia mearnsii,Acacia mearnsii,,1,Accepted,Acacia mearnsii,De Wildeman,Fabaceae,ildis, ,,156
Acacia melanoxylon,Acacia melanoxylon,,1,Accepted,Acacia melanoxylon,R.Br. in W.T.Aiton,Fabaceae,ildis, ,,157
Acacia melanoxylon,Acacia melanoxylon,,1,Accepted,Acacia melanoxylon,R.Br. in W.T.Aiton,Fabaceae,ildis, ,,158
Acacia melanoxylon,Acacia melanoxylon,,1,Accepted,Acacia melanoxylon,R.Br. in W.T.Aiton,Fabaceae,ildis, ,,159
Acacia melanoxylon,Acacia melanoxylon,,1,Accepted,Acacia melanoxylon,R.Br. in W.T.Aiton,Fabaceae,ildis, ,,160
Acacia melanoxylon,Acacia melanoxylon,,1,Accepted,Acacia melanoxylon,R.Br. in W.T.Aiton,Fabaceae,ildis, ,,161
Acacia melanoxylon,Acacia melanoxylon,,1,Accepted,Acacia melanoxylon,R.Br. in W.T.Aiton,Fabaceae,ildis, ,,162
Acacia melanoxylon,Acacia melanoxylon,,1,Accepted,Acacia melanoxylon,R.Br. in W.T.Aiton,Fabaceae,ildis, ,,163
Acacia melanoxylon,Acacia melanoxylon,,1,Accepted,Acacia melanoxylon,R.Br. in W.T.Aiton,Fabaceae,ildis, ,,164
Acacia mellifera,Acacia mellifera,,1,Synonym,Senegalia mellifera,(Vahl) Seigler & Ebinger,Fabaceae,ildis, ,,165
Acacia modesta,Acacia modesta,,1,Synonym,Senegalia modesta,(Wall.) P. Hurter,Fabaceae,ildis, ,,166
Acacia murrayana,Acacia murrayana,,1,Accepted,Acacia murrayana,F.Muell. ex Benth.,Fabaceae,ildis, ,,167
Acacia nilotica,Acacia nilotica,,1,Accepted,Acacia nilotica,,Fabaceae,tpl, ,,168
Acacia nilotica,Acacia nilotica,,1,Accepted,Acacia nilotica,,Fabaceae,tpl, ,,169
Acacia nilotica,Acacia nilotica,,1,Accepted,Acacia nilotica,,Fabaceae,tpl, ,,170
