,ID_AE,Latitude,Longitude,Family,Genus,Species,Substitute_equation,Unit_X,Min_X,Max_X,Output_TR,Unit_Y,Ecoregion_WWF,Veg_Component
2472,44194,32.9709,-82.6339,Ulmaceae,Ulmus,spp.,Biomass=0+0*(DBH^2)+2.17565*((DBH^2)^(1.2481)),in2,1,117,NA,lb,Temperate broadleaf and mixed forests,Whole tree (above stump)
2473,44194,34.6416,-81.7177,Ulmaceae,Ulmus,spp.,Biomass=0+0*(DBH^2)+2.17565*((DBH^2)^(1.2481)),in2,1,117,NA,lb,Temperate broadleaf and mixed forests,Whole tree (above stump)
2474,44194,34.3924,-81.2562,Ulmaceae,Ulmus,spp.,Biomass=0+0*(DBH^2)+2.17565*((DBH^2)^(1.2481)),in2,1,117,NA,lb,Temperate broadleaf and mixed forests,Whole tree (above stump)
2475,44194,34.8606,-81.364,Ulmaceae,Ulmus,spp.,Biomass=0+0*(DBH^2)+2.17565*((DBH^2)^(1.2481)),in2,1,117,NA,lb,Temperate broadleaf and mixed forests,Whole tree (above stump)
2476,44194,35.1806,-81.4988,Ulmaceae,Ulmus,spp.,Biomass=0+0*(DBH^2)+2.17565*((DBH^2)^(1.2481)),in2,1,117,NA,lb,Temperate broadleaf and mixed forests,Whole tree (above stump)
2477,44194,35.0425,-80.3973,Ulmaceae,Ulmus,spp.,Biomass=0+0*(DBH^2)+2.17565*((DBH^2)^(1.2481)),in2,1,117,NA,lb,Temperate broadleaf and mixed forests,Whole tree (above stump)
2478,44194,37.3068,-79.1376,Ulmaceae,Ulmus,spp.,Biomass=0+0*(DBH^2)+2.17565*((DBH^2)^(1.2481)),in2,1,117,NA,lb,Temperate broadleaf and mixed forests,Whole tree (above stump)
2479,44194,33.5031,-82.836,Ulmaceae,Ulmus,spp.,Biomass=0+0*(DBH^2)+2.17565*((DBH^2)^(1.2481)),in2,1,117,NA,lb,Temperate broadleaf and mixed forests,Whole tree (above stump)
2480,44195,33.2404,-83.5433,Fabaceae,Olneya,tesota,Biomass=0+0*(DBH^2)+2.17269*((DBH^2)^(1.24599)),in2,123,437,NA,lb,Temperate broadleaf and mixed forests,Whole tree (above stump)
2481,44195,33.3415,-83.0448,Fabaceae,Olneya,tesota,Biomass=0+0*(DBH^2)+2.17269*((DBH^2)^(1.24599)),in2,123,437,NA,lb,Temperate broadleaf and mixed forests,Whole tree (above stump)
2482,44195,33.4156,-83.6376,Fabaceae,Olneya,tesota,Biomass=0+0*(DBH^2)+2.17269*((DBH^2)^(1.24599)),in2,123,437,NA,lb,Temperate broadleaf and mixed forests,Whole tree (above stump)
2483,44195,33.6177,-83.3412,Fabaceae,Olneya,tesota,Biomass=0+0*(DBH^2)+2.17269*((DBH^2)^(1.24599)),in2,123,437,NA,lb,Temperate broadleaf and mixed forests,Whole tree (above stump)
2484,44195,33.6244,-83.6713,Fabaceae,Olneya,tesota,Biomass=0+0*(DBH^2)+2.17269*((DBH^2)^(1.24599)),in2,123,437,NA,lb,Temperate broadleaf and mixed forests,Whole tree (above stump)
2485,44195,33.5331,-84.4072,Fabaceae,Olneya,tesota,Biomass=0+0*(DBH^2)+2.17269*((DBH^2)^(1.24599)),in2,123,437,NA,lb,Temperate broadleaf and mixed forests,Whole tree (above stump)
2486,44195,36.0875,-79.178,Fabaceae,Olneya,tesota,Biomass=0+0*(DBH^2)+2.17269*((DBH^2)^(1.24599)),in2,123,437,NA,lb,Temperate broadleaf and mixed forests,Whole tree (above stump)
2487,44195,36.2155,-78.9153,Fabaceae,Olneya,tesota,Biomass=0+0*(DBH^2)+2.17269*((DBH^2)^(1.24599)),in2,123,437,NA,lb,Temperate broadleaf and mixed forests,Whole tree (above stump)
2488,44195,36.5119,-78.6054,Fabaceae,Olneya,tesota,Biomass=0+0*(DBH^2)+2.17269*((DBH^2)^(1.24599)),in2,123,437,NA,lb,Temperate broadleaf and mixed forests,Whole tree (above stump)
2489,44195,33.7952,-84.4316,Fabaceae,Olneya,tesota,Biomass=0+0*(DBH^2)+2.17269*((DBH^2)^(1.24599)),in2,123,437,NA,lb,Temperate broadleaf and mixed forests,Whole tree (above stump)
2490,44195,33.3415,-83.3278,Fabaceae,Olneya,tesota,Biomass=0+0*(DBH^2)+2.17269*((DBH^2)^(1.24599)),in2,123,437,NA,lb,Temperate broadleaf and mixed forests,Whole tree (above stump)
2491,44195,32.8901,-83.0314,Fabaceae,Olneya,tesota,Biomass=0+0*(DBH^2)+2.17269*((DBH^2)^(1.24599)),in2,123,437,NA,lb,Temperate broadleaf and mixed forests,Whole tree (above stump)
2492,44195,34.0847,-85.3184,Fabaceae,Olneya,tesota,Biomass=0+0*(DBH^2)+2.17269*((DBH^2)^(1.24599)),in2,123,437,NA,lb,Temperate broadleaf and mixed forests,Whole tree (above stump)
2493,44195,36.815,-78.9759,Fabaceae,Olneya,tesota,Biomass=0+0*(DBH^2)+2.17269*((DBH^2)^(1.24599)),in2,123,437,NA,lb,Temperate broadleaf and mixed forests,Whole tree (above stump)
2494,44195,32.9709,-82.6339,Fabaceae,Olneya,tesota,Biomass=0+0*(DBH^2)+2.17269*((DBH^2)^(1.24599)),in2,123,437,NA,lb,Temperate broadleaf and mixed forests,Whole tree (above stump)
2495,44195,34.6416,-81.7177,Fabaceae,Olneya,tesota,Biomass=0+0*(DBH^2)+2.17269*((DBH^2)^(1.24599)),in2,123,437,NA,lb,Temperate broadleaf and mixed forests,Whole tree (above stump)
2496,44195,34.3924,-81.2562,Fabaceae,Olneya,tesota,Biomass=0+0*(DBH^2)+2.17269*((DBH^2)^(1.24599)),in2,123,437,NA,lb,Temperate broadleaf and mixed forests,Whole tree (above stump)
2497,44195,34.8606,-81.364,Fabaceae,Olneya,tesota,Biomass=0+0*(DBH^2)+2.17269*((DBH^2)^(1.24599)),in2,123,437,NA,lb,Temperate broadleaf and mixed forests,Whole tree (above stump)
2498,44195,35.1806,-81.4988,Fabaceae,Olneya,tesota,Biomass=0+0*(DBH^2)+2.17269*((DBH^2)^(1.24599)),in2,123,437,NA,lb,Temperate broadleaf and mixed forests,Whole tree (above stump)
2499,44195,35.0425,-80.3973,Fabaceae,Olneya,tesota,Biomass=0+0*(DBH^2)+2.17269*((DBH^2)^(1.24599)),in2,123,437,NA,lb,Temperate broadleaf and mixed forests,Whole tree (above stump)
2500,44195,37.3068,-79.1376,Fabaceae,Olneya,tesota,Biomass=0+0*(DBH^2)+2.17269*((DBH^2)^(1.24599)),in2,123,437,NA,lb,Temperate broadleaf and mixed forests,Whole tree (above stump)
2501,44195,33.5031,-82.836,Fabaceae,Olneya,tesota,Biomass=0+0*(DBH^2)+2.17269*((DBH^2)^(1.24599)),in2,123,437,NA,lb,Temperate broadleaf and mixed forests,Whole tree (above stump)
2502,44204,-7.09,107.67,Pinaceae,Pinus,merkusii,0.177*((DBH)^2.050),cm,1.9,11,NA,kg,Tropical and subtropical moist broadleaf forests,Aboveground biomass
2503,44216,45.9232,-67.6283,Salicaceae,Populus,tremuloides,log Biomass=-2.6224+0*(DBH)+2.4827*(LOG((DBH)^(1))),cm,2,33,log,kg,Temperate broadleaf and mixed forests,Whole tree (aboveground)
2504,44231,6.088611,-73.132361,Clusiaceae,Clusia,cruciata,Biomass=-17.6118+5.84592*(DBH),cm,20,30,NA,kg,Tropical and subtropical moist broadleaf forests,Stem+bark+leaves+branches
2506,44260,30.0684,-83.3669,Fagaceae,Quercus,laurifolia,Biomass=0+0*(DBH^2)+9.68515*((DBH^2)^(0.96554)),in2,125,299,NA,lb,Temperate coniferous forests,Whole tree (above stump)
2507,44260,34.1901,-78.2818,Fagaceae,Quercus,laurifolia,Biomass=0+0*(DBH^2)+9.68515*((DBH^2)^(0.96554)),in2,125,299,NA,lb,Temperate coniferous forests,Whole tree (above stump)
