Name_submitted,Name_matched,Author_matched,Overall_score,Taxonomic_status,Accepted_name,Accepted_author,Accepted_family,Source,Warnings,Accepted_name_lsid,user_id
Ocotea quixos,Ocotea quixos,,1,Accepted,Ocotea quixos,(Lam.) Kosterm.,Lauraceae,tpl;tropicos, ,,14427
Ocotea racemosa,Ocotea racemosa,,1,Accepted,Ocotea racemosa,(Danguy) Kosterm.,Lauraceae,tpl;tropicos, ,,14428
Ocotea rhodophylla,Ocotea rhodophylla,,1,Accepted,Ocotea rhodophylla,Vicent.,Lauraceae,tpl;tropicos, ,,14429
Ocotea rhynchophylla,Ocotea rhynchophylla,,1,Synonym,Ocotea aciphylla,(Nees & Mart.) Mez,Lauraceae,tpl;tropicos, ,,14430
Ocotea rubra,Ocotea rubra,,1,Synonym,Sextonia rubra,(Mez) van der Werff,Lauraceae,tpl, ,,14431
Ocotea rubrinervis,Ocotea rubrinervis,,1,Accepted,Ocotea rubrinervis,Mez,Lauraceae,tpl;tropicos, ,,14432
Ocotea scalariformis,Ocotea scalariformis,,1,No opinion,,,,tpl, ,,14433
Ocotea schomburgkiana,Ocotea schomburgkiana,,1,Accepted,Ocotea schomburgkiana,(Nees) Mez,Lauraceae,tpl;tropicos, ,,14434
Ocotea schottii,Ocotea schottii,,1,Accepted,Ocotea schottii,(Meisn.) Mez,Lauraceae,tpl;tropicos, ,,14435
Ocotea sericea,Ocotea sericea,,1,Accepted,Ocotea sericea,Kunth,Lauraceae,tpl;tropicos, ,,14436
Ocotea silvestris,Ocotea silvestris,,1,Accepted,Ocotea silvestris,Vattimo,Lauraceae,tpl, ,,14437
Ocotea sintenisii,Ocotea sintenisii,,1,Synonym,Nectandra turbacensis,(Kunth) Nees,Lauraceae,tpl, ,,14438
Ocotea smithiana,Ocotea smithiana,,1,Accepted,Ocotea smithiana,O.C. Schmidt,Lauraceae,tpl;tropicos, ,,14439
Ocotea spathulata,Ocotea spathulata,,1,No opinion,,,,tpl, ,,14440
Ocotea splendens,Ocotea splendens,,1,Accepted,Ocotea splendens,(Meisn.) Baill.,Lauraceae,tpl;tropicos, ,,14441
Ocotea sppAltodemi1,Ocotea,,0.9,Accepted,Ocotea,,Lauraceae,tpl;usda, ,,14442
Ocotea sppAltosapa1,Ocotea,,0.9,Accepted,Ocotea,,Lauraceae,tpl;usda, ,,14443
Ocotea sppAltosapa2,Ocotea,,0.9,Accepted,Ocotea,,Lauraceae,tpl;usda, ,,14444
Ocotea sppAltosapa3,Ocotea,,0.9,Accepted,Ocotea,,Lauraceae,tpl;usda, ,,14445
Ocotea sppAntado1,Ocotea,,0.9,Accepted,Ocotea,,Lauraceae,tpl;usda, ,,14446
Ocotea sppAraracua1,Ocotea,,0.9,Accepted,Ocotea,,Lauraceae,tpl;usda, ,,14447
Ocotea sppAraracua2,Ocotea,,0.9,Accepted,Ocotea,,Lauraceae,tpl;usda, ,,14448
Ocotea sppBRi1,Ocotea,,0.9,Accepted,Ocotea,,Lauraceae,tpl;usda, ,,14449
Ocotea sppBRi2,Ocotea,,0.9,Accepted,Ocotea,,Lauraceae,tpl;usda, ,,14450
Ocotea sppBRii3,Ocotea,,0.9,Accepted,Ocotea,,Lauraceae,tpl;usda, ,,14451
Ocotea sppBoraceia1,Ocotea,,0.9,Accepted,Ocotea,,Lauraceae,tpl;usda, ,,14452
Ocotea sppBosquede1,Ocotea,,0.9,Accepted,Ocotea,,Lauraceae,tpl;usda, ,,14453
Ocotea sppBrisefer1,Ocotea,,0.9,Accepted,Ocotea,,Lauraceae,tpl;usda, ,,14454
Ocotea sppCR1,Ocotea,,0.9,Accepted,Ocotea,,Lauraceae,tpl;usda, ,,14455
Ocotea sppCR2,Ocotea,,0.9,Accepted,Ocotea,,Lauraceae,tpl;usda, ,,14456
Ocotea sppCR3,Ocotea,,0.9,Accepted,Ocotea,,Lauraceae,tpl;usda, ,,14457
Ocotea sppCR4,Ocotea,,0.9,Accepted,Ocotea,,Lauraceae,tpl;usda, ,,14458
Ocotea sppCalima1,Ocotea,,0.9,Accepted,Ocotea,,Lauraceae,tpl;usda, ,,14459
Ocotea sppCampano1,Ocotea,,0.9,Accepted,Ocotea,,Lauraceae,tpl;usda, ,,14460
Ocotea sppCampinas1,Ocotea,,0.9,Accepted,Ocotea,,Lauraceae,tpl;usda, ,,14461
Ocotea sppCedral1,Ocotea,,0.9,Accepted,Ocotea,,Lauraceae,tpl;usda, ,,14462
Ocotea sppCedral2,Ocotea,,0.9,Accepted,Ocotea,,Lauraceae,tpl;usda, ,,14463
Ocotea sppCedral3,Ocotea,,0.9,Accepted,Ocotea,,Lauraceae,tpl;usda, ,,14464
Ocotea sppCedral4,Ocotea,,0.9,Accepted,Ocotea,,Lauraceae,tpl;usda, ,,14465
Ocotea sppCedral5,Ocotea,,0.9,Accepted,Ocotea,,Lauraceae,tpl;usda, ,,14466
Ocotea sppCedral6,Ocotea,,0.9,Accepted,Ocotea,,Lauraceae,tpl;usda, ,,14467
Ocotea sppCedral7,Ocotea,,0.9,Accepted,Ocotea,,Lauraceae,tpl;usda, ,,14468
Ocotea sppCentinel1,Ocotea,,0.9,Accepted,Ocotea,,Lauraceae,tpl;usda, ,,14469
Ocotea sppCentinel2,Ocotea,,0.9,Accepted,Ocotea,,Lauraceae,tpl;usda, ,,14470
Ocotea sppCentinel3,Ocotea,,0.9,Accepted,Ocotea,,Lauraceae,tpl;usda, ,,14471
Ocotea sppCentinel4,Ocotea,,0.9,Accepted,Ocotea,,Lauraceae,tpl;usda, ,,14472
Ocotea sppCerroesp1,Ocotea,,0.9,Accepted,Ocotea,,Lauraceae,tpl;usda, ,,14473
Ocotea sppCerroesp2,Ocotea,,0.9,Accepted,Ocotea,,Lauraceae,tpl;usda, ,,14474
Ocotea sppCerroesp3,Ocotea,,0.9,Accepted,Ocotea,,Lauraceae,tpl;usda, ,,14475
Ocotea sppCerroesp4,Ocotea,,0.9,Accepted,Ocotea,,Lauraceae,tpl;usda, ,,14476
Ocotea sppChaquima1,Ocotea,,0.9,Accepted,Ocotea,,Lauraceae,tpl;usda, ,,14477
Ocotea sppChirinos1,Ocotea,,0.9,Accepted,Ocotea,,Lauraceae,tpl;usda, ,,14478
Ocotea sppChorrobl1,Ocotea,,0.9,Accepted,Ocotea,,Lauraceae,tpl;usda, ,,14479
Ocotea sppConstanc1,Ocotea,,0.9,Accepted,Ocotea,,Lauraceae,tpl;usda, ,,14480
Ocotea sppCuangos1,Ocotea,,0.9,Accepted,Ocotea,,Lauraceae,tpl;usda, ,,14481
Ocotea sppCuangos2,Ocotea,,0.9,Accepted,Ocotea,,Lauraceae,tpl;usda, ,,14482
Ocotea sppCuangos3,Ocotea,,0.9,Accepted,Ocotea,,Lauraceae,tpl;usda, ,,14483
Ocotea sppCueva1,Ocotea,,0.9,Accepted,Ocotea,,Lauraceae,tpl;usda, ,,14484
Ocotea sppCuevas1,Ocotea,,0.9,Accepted,Ocotea,,Lauraceae,tpl;usda, ,,14485
Ocotea sppCutervo1,Ocotea,,0.9,Accepted,Ocotea,,Lauraceae,tpl;usda, ,,14486
Ocotea sppCutervo2,Ocotea,,0.9,Accepted,Ocotea,,Lauraceae,tpl;usda, ,,14487
Ocotea sppCutervo3,Ocotea,,0.9,Accepted,Ocotea,,Lauraceae,tpl;usda, ,,14488
Ocotea sppCutervo4,Ocotea,,0.9,Accepted,Ocotea,,Lauraceae,tpl;usda, ,,14489
Ocotea sppCutervo5,Ocotea,,0.9,Accepted,Ocotea,,Lauraceae,tpl;usda, ,,14490
Ocotea sppCutervo6,Ocotea,,0.9,Accepted,Ocotea,,Lauraceae,tpl;usda, ,,14491
Ocotea sppCuzcoama1,Ocotea,,0.9,Accepted,Ocotea,,Lauraceae,tpl;usda, ,,14492
Ocotea sppDucke1,Ocotea,,0.9,Accepted,Ocotea,,Lauraceae,tpl;usda, ,,14493
Ocotea sppDureno1,Ocotea,,0.9,Accepted,Ocotea,,Lauraceae,tpl;usda, ,,14494
Ocotea sppDureno2,Ocotea,,0.9,Accepted,Ocotea,,Lauraceae,tpl;usda, ,,14495
Ocotea sppFPnet1,Ocotea,,0.9,Accepted,Ocotea,,Lauraceae,tpl;usda, ,,14496
Ocotea sppFarall1,Ocotea,,0.9,Accepted,Ocotea,,Lauraceae,tpl;usda, ,,14497
Ocotea sppFarall2,Ocotea,,0.9,Accepted,Ocotea,,Lauraceae,tpl;usda, ,,14498
Ocotea sppFarall3,Ocotea,,0.9,Accepted,Ocotea,,Lauraceae,tpl;usda, ,,14499
Ocotea sppGF1,Ocotea,,0.9,Accepted,Ocotea,,Lauraceae,tpl;usda, ,,14500
Ocotea sppGT1,Ocotea,,0.9,Accepted,Ocotea,,Lauraceae,tpl;usda, ,,14501
Ocotea sppGentry1,Ocotea,,0.9,Accepted,Ocotea,,Lauraceae,tpl;usda, ,,14502
Ocotea sppHuamani1,Ocotea,,0.9,Accepted,Ocotea,,Lauraceae,tpl;usda, ,,14503
Ocotea sppHuamani2,Ocotea,,0.9,Accepted,Ocotea,,Lauraceae,tpl;usda, ,,14504
Ocotea sppIncahuar1,Ocotea,,0.9,Accepted,Ocotea,,Lauraceae,tpl;usda, ,,14505
Ocotea sppJatunsac1,Ocotea,,0.9,Accepted,Ocotea,,Lauraceae,tpl;usda, ,,14506
Ocotea sppJatunsac2,Ocotea,,0.9,Accepted,Ocotea,,Lauraceae,tpl;usda, ,,14507
Ocotea sppKennedy1,Ocotea,,0.9,Accepted,Ocotea,,Lauraceae,tpl;usda, ,,14508
Ocotea sppKennedy2,Ocotea,,0.9,Accepted,Ocotea,,Lauraceae,tpl;usda, ,,14509
Ocotea sppKennedy3,Ocotea,,0.9,Accepted,Ocotea,,Lauraceae,tpl;usda, ,,14510
Ocotea sppLagenoa1,Ocotea,,0.9,Accepted,Ocotea,,Lauraceae,tpl;usda, ,,14511
Ocotea sppLagenoa2,Ocotea,,0.9,Accepted,Ocotea,,Lauraceae,tpl;usda, ,,14512
Ocotea sppLagenoa3,Ocotea,,0.9,Accepted,Ocotea,,Lauraceae,tpl;usda, ,,14513
Ocotea sppLaplanad2,Ocotea,,0.9,Accepted,Ocotea,,Lauraceae,tpl;usda, ,,14514
Ocotea sppLaplanad3,Ocotea,,0.9,Accepted,Ocotea,,Lauraceae,tpl;usda, ,,14515
Ocotea sppLaplanad4,Ocotea,,0.9,Accepted,Ocotea,,Lauraceae,tpl;usda, ,,14516
