"","x"
"584","Albizia falcataria"
"585","Albizia falcataria"
"586","Albizia falcataria"
"587","Albizia falcataria"
"588","Albizia falcataria"
"589","Albizia falcataria"
"590","Albizia falcataria"
"591","Albizia falcataria"
"592","Albizia falcataria"
"593","Albizia falcataria"
"594","Albizia falcataria"
"595","Albizia falcataria"
"596","Albizia falcataria"
"597","Albizia falcataria"
"598","Albizia falcataria"
"599","Albizia falcataria"
"600","Albizia falcataria"
"601","Albizia falcataria"
"602","Albizia falcataria"
"603","Albizia falcataria"
"604","Albizia falcataria"
"605","Albizia falcataria"
"606","Albizia falcataria"
"607","Albizia falcataria"
"608","Albizia falcataria"
"609","Albizia falcataria"
"610","Albizia falcataria"
"611","Albizia falcataria"
"612","Albizia falcataria"
"613","Albizia falcataria"
"614","Albizia falcataria"
"615","Albizia falcataria"
"616","Albizia falcataria"
"617","Albizia falcataria"
"618","Albizia falcataria"
"619","Albizia falcataria"
"620","Alstonia sp."
"621","Dillenia suffruticosa"
"622","Dillenia suffruticosa"
"623","Dillenia suffruticosa"
"624","Endospermum diadenum"
"625","Endospermum diadenum"
"626","Endospermum diadenum"
"627","Endospermum diadenum"
"628","Endospermum diadenum"
"629","Endospermum diadenum"
"630","Endospermum diadenum"
"631","Endospermum diadenum"
"632","Endospermum diadenum"
"633","Endospermum diadenum"
"634","Glochidion sp."
"635","Glochidion sp."
"636","Glochidion sp."
"637","Glochidion sp."
"638","Glochidion sp."
"639","Glochidion sp."
"640","Glochidion sp."
"641","Glochidion sp."
"642","Glochidion sp."
"643","Glochidion sp."
"644","Homalanthus populneus"
"645","Homalanthus populneus"
"646","Macaranga bancana"
"647","Macaranga bancana"
"648","Macaranga bancana"
"649","Macaranga bancana"
"650","Macaranga bancana"
"651","Macaranga bancana"
"652","Macaranga bancana"
"653","Macaranga bancana"
"654","Macaranga bancana"
"655","Macaranga bancana"
"656","Macaranga bancana"
"657","Macaranga bancana"
"658","Macaranga bancana"
"659","Macaranga bancana"
"660","Macaranga bancana"
"661","Macaranga bancana"
"662","Macaranga bancana"
"663","Macaranga bancana"
"664","Macaranga bancana"
"665","Macaranga bancana"
"666","Macaranga bancana"
"667","Macaranga bancana"
"668","Macaranga bancana"
"669","Macaranga bancana"
"670","Macaranga bancana"
"671","Macaranga bancana"
"672","Macaranga bancana"
"673","Macaranga bancana"
"674","Macaranga bancana"
"675","Macaranga bancana"
"676","Macaranga bancana"
"677","Macaranga beccariana"
"678","Macaranga beccariana"
"679","Macaranga beccariana"
"680","Macaranga beccariana"
"681","Macaranga beccariana"
"682","Macaranga gigantea"
"683","Macaranga gigantea"
"684","Macaranga gigantea"
"685","Macaranga gigantea"
"686","Macaranga gigantea"
"687","Macaranga gigantea"
"688","Macaranga gigantea"
"689","Macaranga gigantea"
"690","Macaranga gigantea"
"691","Macaranga gigantea"
"692","Macaranga gigantea"
"693","Macaranga gigantea"
"694","Macaranga gigantea"
"695","Macaranga gigantea"
"696","Macaranga gigantea"
"697","Macaranga gigantea"
"698","Macaranga gigantea"
"699","Macaranga gigantea"
"700","Macaranga gigantea"
"701","Macaranga gigantea"
"702","Macaranga gigantea"
"703","Macaranga gigantea"
"704","Macaranga gigantea"
"705","Macaranga hosei"
"706","Macaranga hosei"
"707","Macaranga hosei"
"708","Macaranga hosei"
"709","Macaranga hosei"
"710","Macaranga hosei"
"711","Macaranga hosei"
"712","Macaranga hosei"
"713","Macaranga hosei"
"714","Macaranga hosei"
"715","Macaranga hosei"
"716","Macaranga hypoleuca"
"717","Macaranga hypoleuca"
"718","Macaranga hypoleuca"
"719","Macaranga hypoleuca"
"720","Macaranga pseudopruinosa"
"721","Macaranga trachyphylla"
"722","Macaranga trachyphylla"
"723","Macaranga winkleri"
"724","Macaranga winkleri"
"725","Macaranga winkleri"
"726","Mallotus sp."
"727","Mallotus sp."
"728","Mallotus sp."
"729","Mallotus sp."
"730","Melastoma malabathricum"
"731","Melastoma malabathricum"
"732","Melastoma malabathricum"
"733","Artocarpus elasticus"
"734","Artocarpus sp."
"735","Artocarpus sp."
"736","Artocarpus sp."
"737","Ficus stolonifera"
"738","Ficus stolonifera"
"739","Ficus stolonifera"
"740","Ficus stolonifera"
"741","Ficus stolonifera"
"742","Ficus stolonifera"
"743","Ficus stolonifera"
"744","Ficus stolonifera"
"745","Ficus stolonifera"
"746","Ficus stolonifera"
"747","Ficus stolonifera"
"748","Ficus sp 1."
"749","Ficus sp 1."
"750","Ficus sp 1."
"751","Ficus sp 2"
"752","Macaranga beccariana"
"753","Macaranga bancana"
"754","Macaranga bancana"
"755","Macaranga bancana"
"756","Macaranga bancana"
"757","Macaranga bancana"
"758","Macaranga bancana"
"759","Macaranga winkleri"
"760","Macaranga winkleri"
"761","Macaranga winkleri"
"762","Macaranga winkleri"
"763","Macaranga trachyphylla"
"764","Macaranga trachyphylla"
"765","Macaranga trachyphylla"
"766","Macaranga trachyphylla"
"767","Macaranga trachyphylla"
"768","Macaranga trachyphylla"
"769","Santiria apiculata"
"770","Kokoona ovatolanceolata"
"771","Garcinia penangiana"
"772","Dryobalanops beccarii"
"773","Shorea andulensis"
"774","Shorea cf. stenoptera"
"775","Shorea parvifolia"
"776","Shorea parvifolia"
"777","Macaranga costulata"
"778","Macaranga trachyphylla"
"779","Endospermum cf. diadenum"
"780","Litsea castanea"
"781","Litsea cauliflora"
"782","Aglaia affinis"
"783","Aglaia bernardoi"
"784","Walsura pinnata"
"785","Xylocarpus sp."
"786","Ficus sp."
"787","Endocomia rufirachis"
"788","Xanthophyllum stipitatum"
"789","Adina sp."
"790","Arytera littoralis"
"791","Adinandra dumosa"
"792","Adinandra dumosa"
"793","Trema sp."
"794","Trema sp."
"795","Shorea parvifolia"
"796","Shorea parvifolia"
"797","Shorea parvifolia"
"798","Shorea parvifolia"
"799","Shorea parvifolia"
"800","Shorea parvifolia"
"801","Shorea parvifolia"
"802","Shorea parvifolia"
"803","Shorea parvifolia"
"804","Shorea parvifolia"
"805","Shorea parvifolia"
"806","Shorea parvifolia"
"807","Shorea parvifolia"
"808","Shorea parvifolia"
"809","Shorea parvifolia"
"810","Shorea ovata"
"811","Shorea ovata"
"812","Shorea ovata"
"813","Shorea ovata"
"814","Shorea ovata"
"815","Shorea ovata"
"816","Shorea ovata"
"817","Eucalyptus urophylla * Eucalyptus grandis (clone)"
"818","Eucalyptus urophylla * Eucalyptus grandis (clone)"
"819","Eucalyptus urophylla * Eucalyptus grandis (clone)"
"820","Eucalyptus urophylla * Eucalyptus grandis (clone)"
"821","Eucalyptus urophylla * Eucalyptus grandis (clone)"
"822","Eucalyptus urophylla * Eucalyptus grandis (clone)"
"823","Eucalyptus urophylla * Eucalyptus grandis (clone)"
"824","Eucalyptus urophylla * Eucalyptus grandis (clone)"
"825","Eucalyptus urophylla * Eucalyptus grandis (clone)"
"826","Eucalyptus urophylla * Eucalyptus grandis (clone)"
"827","Eucalyptus urophylla * Eucalyptus grandis (clone)"
"828","Eucalyptus urophylla * Eucalyptus grandis (clone)"
"829","Eucalyptus urophylla * Eucalyptus grandis (clone)"
"830","Eucalyptus urophylla * Eucalyptus grandis (clone)"
"831","Eucalyptus urophylla * Eucalyptus grandis (clone)"
"832","Gallesia integrifolia"
"833","Gallesia integrifolia"
"834","Gallesia integrifolia"
"835","Gallesia integrifolia"
"836","Gallesia integrifolia"
"837","Gallesia integrifolia"
"838","Gallesia integrifolia"
"839","Gallesia integrifolia"
"840","Gallesia integrifolia"
"841","Gallesia integrifolia"
"842","Pterogyne nitens"
"843","Pterogyne nitens"
"844","Pterogyne nitens"
"845","Pterogyne nitens"
"846","Pterogyne nitens"
"847","Pterogyne nitens"
"848","Pterogyne nitens"
"849","Pterogyne nitens"
"850","Pterogyne nitens"
"851","Pterogyne nitens"
"852","Ampelocera ruizii"
"853","Ampelocera ruizii"
"854","Ampelocera ruizii"
"855","Ampelocera ruizii"
"856","Ampelocera ruizii"
"857","Ampelocera ruizii"
"858","Ampelocera ruizii"
"859","Ampelocera ruizii"
"860","Ampelocera ruizii"
"861","Ampelocera ruizii"
"862","Combretum leprosum"
"863","Combretum leprosum"
"864","Combretum leprosum"
"865","Combretum leprosum"
"866","Combretum leprosum"
"867","Combretum leprosum"
"868","Combretum leprosum"
"869","Combretum leprosum"
"870","Combretum leprosum"
"871","Combretum leprosum"
"872","Jacaratia sp."
"873","Jacaratia sp."
"874","Jacaratia sp."
"875","Jacaratia sp."
"876","Jacaratia sp."
"877","Rollinia herzogii"
"878","Rollinia herzogii"
"879","Rollinia herzogii"
"880","Rollinia herzogii"
"881","Rollinia herzogii"
"882","Rollinia herzogii"
"883","Rollinia herzogii"
"884","Rollinia herzogii"
"885","Rollinia herzogii"
"886","Rollinia herzogii"
"887","Erythroxylum daphnites"
"888","Erythroxylum daphnites"
"889","Erythroxylum daphnites"
"890","Erythroxylum daphnites"
"891","Erythroxylum daphnites"
"892","Erythroxylum daphnites"
"893","Erythroxylum daphnites"
"894","Erythroxylum daphnites"
"895","Erythroxylum daphnites"
"896","Bougainvillea modesta"
"897","Bougainvillea modesta"
"898","Bougainvillea modesta"
"899","Bougainvillea modesta"
"900","Bougainvillea modesta"
"901","Anadenanthera colubrina"
"902","Anadenanthera colubrina"
"903","Anadenanthera colubrina"
"904","Anadenanthera colubrina"
"905","Anadenanthera colubrina"
"906","Anadenanthera colubrina"
"907","Anadenanthera colubrina"
"908","Anadenanthera colubrina"
"909","Anadenanthera colubrina"
"910","Anadenanthera colubrina"
"911","Casearia gossypiosperma"
"912","Casearia gossypiosperma"
"913","Casearia gossypiosperma"
"914","Casearia gossypiosperma"
"915","Casearia gossypiosperma"
"916","Casearia gossypiosperma"
"917","Casearia gossypiosperma"
"918","Casearia gossypiosperma"
"919","Casearia gossypiosperma"
"920","Casearia gossypiosperma"
"921","Phyllostylon rhamnoides"
"922","Phyllostylon rhamnoides"
"923","Phyllostylon rhamnoides"
"924","Phyllostylon rhamnoides"
"925","Phyllostylon rhamnoides"
"926","Phyllostylon rhamnoides"
"927","Phyllostylon rhamnoides"
"928","Phyllostylon rhamnoides"
"929","Phyllostylon rhamnoides"
"930","Phyllostylon rhamnoides"
"931","Simira rubescens"
"932","Simira rubescens"
"933","Simira rubescens"
"934","Simira rubescens"
"935","Simira rubescens"
"936","Simira rubescens"
"937","Simira rubescens"
"938","Simira rubescens"
"939","Simira rubescens"
"940","Simira rubescens"
"941","Myrciaria cauliflora"
"942","Myrciaria cauliflora"
"943","Myrciaria cauliflora"
"944","Myrciaria cauliflora"
