"","ID_AE","Latitude","Longitude","Family","Genus","Species","X","Unit_X","Min_X","Max_X","Output","Output_TR","Unit_Y","Equation","RMSE","SEE","Corrected_for_bias","Substitute_equation","Sample_size","Veg_Component","Population","Location","Country","Ecoregion_WWF","Reference"
"1139",39571,-1.49,102.44,"Unknown","All","All","DBH","cm",6.1,42,"Biomass",NA,"kg","0.0639*(X^2.349)",NA,NA,NA,"0.0639*((DBH)^2.349)",17,"Aboveground biomass","Individual","Jambi","Indonesia","Tropical and subtropical moist broadleaf forests","Krisnawati, H., W. C. Adinugroho and R. Imanuddin (2012). Monograph Allometric Models for Estimating Tree Biomass at Vrious Forest Ecosystem Types in Indonesia. Bogor, Indonesia, Research and Development Center for Conservation and Rehabilitation,  Forestry Research and Development Agency, Ministry of Forestry."
"1140",39572,-1.49,102.44,"Unknown","All","All","DBH","cm",10.3,48,"Biomass",NA,"kg","0.0639*(X^2.390)",NA,NA,NA,"0.0639*((DBH)^2.390)",21,"Aboveground biomass","Individual","Jambi","Indonesia","Tropical and subtropical moist broadleaf forests","Krisnawati, H., W. C. Adinugroho and R. Imanuddin (2012). Monograph Allometric Models for Estimating Tree Biomass at Vrious Forest Ecosystem Types in Indonesia. Bogor, Indonesia, Research and Development Center for Conservation and Rehabilitation,  Forestry Research and Development Agency, Ministry of Forestry."
"1141",39595,-6.8333,31.0833,"Unknown","All","All","DBH","cm",4,79,"Biomass",NA,"kg","0.0739*X^(2.5764)",332.89,NA,NA,"Biomass=0.0739*(DBH)^(2.5764)",40,"Above ground","Individual","Katavi","United Republic of Tanzania","Tropical and subtropical grasslands, savannas, and shrublands","Mugasha, W. A., Eid, T., Bollands_s, O. M., Malimbwi, R. E., Chamshama, S. A. O., Zahabu, E. and Katani, J. Z. 2013. Allometric models for prediction of above- and belowground biomass of trees in the miombo woodlands of Tanzania. Forest Ecology and Management 310: 87 _ 101."
"1142",39598,-38.416097,-63.616672,"Apocynaceae","Aspidosperma","unknown","DBH","cm",13,58,"Biomass",NA,"kg","0.0738697*X^(2.5939)*exp(-0.1530)",NA,NA,NA,"Biomass=0.0738697*(DBH)^(2.5939)*exp(-0.1530)",15,"Stem+bark+leaves+branches","Individual","Santiago del Estero","Argentina","Temperate grasslands, savannas, and shrublands","Gaillard de Benitez, C; Pece, M; Juarea de Galindez, M; Maldonado, A; Acosta, V; Gomez, A. 2000. Biomasa aerea de ejemplares de quebracho blanco (Aspidosperma quebracho-blanco) en dos localidades del Parque Chaqueno Seco. Quebracho 9:115-127."
"1150",39610,NA,NA,"Fabaceae","Acacia","auriculiformis","DBH","cm",NA,NA,"Biomass","log","kg","#NAME?",NA,NA,NA,"log Biomass=-1.3577+2.4177*(LOG((DBH)^(1)))",NA,"Bark,Branches,Leaves,Roots,Stump and Trunk","Individual","Bangladesh","Bangladesh",NA,"Latif, M.A. & Islam, S.M.Z. Mathematical models and tables on growth,yield,volume and biomass for important trees in Bangladesh.11pp ."
"1158",39639,6.088611,-73.132361,"Fagaceae","Quercus","humboldtii","DBH","cm",20,30,"Biomass",NA,"kg","#NAME?",NA,NA,NA,"Biomass=-765.618+47.861*(DBH)",2872,"Stem+bark+leaves+branches","Individual","Reserva natural de Cachalu, Santander","Colombia","Tropical and subtropical moist broadleaf forests","Perez Lara, M; Diaz Timote, J. 2010. Estimacion del carbono contenido en la biomasa forestal aerea de dos bosques andinos en los departamentos de Santander y Cundinamarca. Ing. Forestal. CO., Universidad Distrital Francisco Jose de Caldas. 87 p. p."
"1159",39670,21.833,101.2,"Loganiaceae","Strychnos","Wallichiana","DBH","cm",1.8,14.5,"Biomass",NA,"kg","0.1498+1.7895*log(X)",NA,NA,NA,"0.1498+1.7895*log((DBH))",25,"above ground biomass","Individual","Menglun Nature Reserve","China","Tropical and subtropical dry broadleaf forests","Lv, X., Tang, J., et al. (2009). ""Density and aboveground biomass of lianas in the tropical seasonal rain forests of Xishuangbanna, SW China."" Revista de Biologia Tropical 57(1-2): 211-222"
"1160",39676,-19.249889,-57.02935,"Sapindaceae","Magonia","pubescens","DBH","cm",7,35,"Biomass","log","kg","#NAME?",NA,NA,NA,"log Biomass=-2.525+2.411*LOG((DBH))-3.972+2.937*LOG((DBH))-4.998+2.342*LOG((DBH))",10,"Stem+bark+leaves+branches","Individual","Nhecolandia","Brazil","Flooded grasslands","Salis, S. M., Assis, M. A., Mattos, P. P. and Piao, A. C. S. 2006. Estimating the Aboveground Biomass and Wood Volume of Savanna Woodlands in Brazils Pantanal Wetlands Based on Allometric Correlations. Forest Ecology and Management,(228): 61-68."
"1161",39739,27.16425,85.06692,"Myrtaceae","Eucalyptus","camaldulensis","DBH","cm",2,14,"Biomass","log","kg","(-2.2660)+2.4663*(log(X^(1)))",NA,NA,NA,"log Biomass=(-2.2660)+2.4663*(log((DBH)^(1)))",88,"Bark,Branches,Leaves,Roots,Stump and Trunk","Individual","Adabhar","Nepal","Tropical and subtropical grasslands, savannas, and shrublands","Hawkins, T. 1987. Biomass and volume tables for Eucalyptus camaldulensis,dalbergia sissoo,Acacia auriculiformis and Cassia siamea in the central Bhabar-terai of Nepal.43pp ."
"1162",39739,27.39128,86.73615,"Myrtaceae","Eucalyptus","camaldulensis","DBH","cm",2,14,"Biomass","log","kg","(-2.2660)+2.4663*(log(X^(1)))",NA,NA,NA,"log Biomass=(-2.2660)+2.4663*(log((DBH)^(1)))",88,"Bark,Branches,Leaves,Roots,Stump and Trunk","Individual","Sagarnath","Nepal","Temperate broadleaf and mixed forests","Hawkins, T. 1987. Biomass and volume tables for Eucalyptus camaldulensis,dalbergia sissoo,Acacia auriculiformis and Cassia siamea in the central Bhabar-terai of Nepal.43pp ."
"1163",39747,44.063,-71.3001,"Betulaceae","Betula","papyrifera","DBH","cm",5,18,"Biomass","log","g","5.42+0*X+2.19*(log(X^(1)))",NA,NA,NA,"log Biomass=5.42+0*(DBH)+2.19*(log((DBH)^(1)))",18,"Stem + branches (live)","Individual","Near Bartlett, New Hampshire","United States","Temperate broadleaf and mixed forests","Hocker; H; W;  Early; D; J; 1983; Biomass and leaf area equations for northern forest species; Res; Pap; 102; Durham; NH; University of New Hampshire Agricultural Experiment Station;"
"1164",39747,43.1617,-71.0187,"Betulaceae","Betula","papyrifera","DBH","cm",5,18,"Biomass","log","g","5.42+0*X+2.19*(log(X^(1)))",NA,NA,NA,"log Biomass=5.42+0*(DBH)+2.19*(log((DBH)^(1)))",18,"Stem + branches (live)","Individual","Vicinity of Durham, New Hampshire","United States","Temperate broadleaf and mixed forests","Hocker; H; W;  Early; D; J; 1983; Biomass and leaf area equations for northern forest species; Res; Pap; 102; Durham; NH; University of New Hampshire Agricultural Experiment Station;"
"1165",39755,-16.1,145.4333333,"Unknown","All","unknown","DBH","cm",10,NA,"Biomass","log","kg","exp(-2.317+2.453*log(X))",NA,NA,NA,"exp(-2.317+2.453*log(DBH))",NA,"Total above ground","Individual","CapeTribulation","Australia","Tropical and subtropical moist broadleaf forests","Liddell, M. J., N. Nieullet, et al. (2007). ""Assessing the above-ground biomass of a complex tropical rainforest using a canopy crane."" Austral Ecology 32(1): 43-58"
"1166",39760,40.8595,-72.9567,"Pinaceae","Pinus","rigida","DBH","cm",1,31,"Biomass","log10","g","2.0171+2.3373*(log10(X^(1)))",NA,NA,NA,"log10 Biomass=2.0171+2.3373*(log10((DBH)^(1)))",15,"Whole tree (aboveground)","Individual","BROOKHAVEN FOREST, NEW YORK","United States","Temperate broadleaf and mixed forests","Whittaker, R. H.; Woodwell, G. M. 1968. Dimension and production relations of trees and shrubs in the Brookhaven Forest, New York. Journal of Ecology. 56: 1-25."
"1167",39768,-3.106409,-60.02643,"Connaraceae","Rourea","cuspidata","DBH",NA,NA,NA,"Biomass","log","kg","#NAME?",NA,NA,NA,"log Biomass=-3.92+2.084*LOG((DBH))",42,"Stem+bark+leaves+branches","Individual","Manaus","Brazil","Tropical and subtropical moist broadleaf forests","Gehring, C; Park, S; Denich, M. 2004. Liana allometric biomass equations for Amazonian primary and secondary forest. Forest Ecology and Management 195(1-2):69-83."
"1168",39769,6.088611,-73.132361,"Juglandaceae","Alfaroa","colombiana","DBH","cm",20,30,"Biomass",NA,"kg","#NAME?",NA,NA,NA,"Biomass=-685.961+267.729*LOG((DBH))",NA,"Stem+bark+leaves+branches","Individual","Reserva natural de Cachalu, Santander","Colombia","Tropical and subtropical moist broadleaf forests","Perez Lara, M; Diaz Timote, J. 2010. Estimacion del carbono contenido en la biomasa forestal aerea de dos bosques andinos en los departamentos de Santander y Cundinamarca. Ing. Forestal. CO., Universidad Distrital Francisco Jose de Caldas. 87 p. p."
"1169",39790,44.8831,-68.6719,"Pinaceae","Abies","balsamea","DBH","in",1,20,"Biomass","log","lb","0.5958+0*X+2.4017*(log(X^(1)))",NA,NA,NA,"log Biomass=0.5958+0*(DBH)+2.4017*(log((DBH)^(1)))",95,"Whole tree (above stump)","Individual","Orono, Maine","United States","Temperate broadleaf and mixed forests","Young, H. E.; Ribe, J. H.; Wainwright, K. 1980. Weight tables for tree and shrub species in Maine. Misc. Rep. 230. Orono, ME: University of Maine, Life Sciences and Agriculture Experiment Station."
"1171",39816,45.375,127.534,"Pinaceae","Larix","Gmelinii Rupr.","Log10(DBH)","cm",1.5,39.8,"Biomass","Log10","kg","2.021+2.474*X",0.005,NA,TRUE,"2.021+2.474*(Log10(DBH))",10,"total biomass","Individual","Maoershan Ecosystem Research Station","China","Temperate broadleaf and mixed forests","Wang, C. (2006). ""Biomass allometric equations for 10 co-occurring tree species in Chinese temperate forests."" Forest Ecology and Management 222(1-3): 9-16"
"1172",39817,44.8831,-68.6719,"Betulaceae","Betula","papyrifera","DBH","in",1,20,"Biomass","log","lb","0.4792+0*X+2.6634*(log(X^(1)))",NA,NA,NA,"log Biomass=0.4792+0*(DBH)+2.6634*(log((DBH)^(1)))",51,"Whole tree (above stump)","Individual","Orono, Maine","United States","Temperate broadleaf and mixed forests","Young, H. E.; Ribe, J. H.; Wainwright, K. 1980. Weight tables for tree and shrub species in Maine. Misc. Rep. 230. Orono, ME: University of Maine, Life Sciences and Agriculture Experiment Station."
"1180",39832,39.2011,-82.6561,"Rosaceae","Prunus","serotina","DBH","cm",0,7,"Biomass","log10","g","1.1981+1.5876*(log10(X^(2)))",NA,NA,TRUE,"log10 Biomass=1.1981+1.5876*(log10((DBH)^(2)))",37,"Whole tree (aboveground)","Individual","Southern Ohio","United States","Temperate broadleaf and mixed forests","Williams, R. A.; McClenahen, J. R. 1984. Biomass prediction equations for seedlings, sprouts, and saplings of ten central hardwood species. Forest Science. 30: 523-527."
"1181",39852,18.583333,-95.083333,"Euphorbiaceae","Omphalea","diandra","DBH","cm",NA,10,"Biomass",NA,"Mg","(Exp(4.9375)*X^2.1166)*1.14e-006",NA,NA,NA,"(Exp(4.9375)*(DBH)^2.1166)*1.14e-006",66,"Whole tree (aboveground)","Individual","Veracruz de Ignacio de la Llave","Mexico",NA,"Hughes, F., B. Kauffman y V. Jaramillo. 1999. Biomass, Carbon, and Nutrient Dynamics of Secondary Forests in a humid Tropical Region of Mexico. Ecology 80(6):1892-1907."
"1182",39892,-34.445165,116.03404,"Myrtaceae","Eucalyptus","diversicolor","DBH","cm",NA,NA,"Biomass",NA,"kg","exp(-3.035)*X^(2.701)+exp(-4.913)*X^(2.663)+exp(-6.797)*X^(3.190)+exp(-3.250)*X^(1.763)",NA,NA,NA,"exp(-3.035)*DBH^(2.701)+exp(-4.913)*DBH^(2.663)+exp(-6.797)*DBH^(3.190)+exp(-3.250)*DBH^(1.763)",12,"Total above ground","Individual","Pemberton","Australia","Mediterranean scrub","Bi, H., J. Turner, et al. (2004). ""Additive biomass equations for native eucalypt forest trees of temperate Australia."" Trees 18(4): 467-479"
"1183",39918,26.7069,87.25658,"Fabaceae","Dalbergia","sissoo","DBH","cm",NA,NA,"Biomass","log","kg","(-3.13)+2.70*(log(X^(1)))",NA,NA,TRUE,"log Biomass=(-3.13)+2.70*(log((DBH)^(1)))",20,"Branches,Stump and Trunk","Individual","Tarahara of Sunsari Dist.","Nepal","Tropical and subtropical grasslands, savannas, and shrublands","Thapa, H.B. 1999. Prediction models for above-ground wood of some fast growing trees of Nepal?s eastern Terai. Banko Janakari 9, 2, 27?35."
"1184",39925,30.0684,-83.3669,"Altingiaceae","Liquidambar","styraciflua","DBH^2","in2",1,119,"Biomass",NA,"lb","0+0*X+1.69699*(X^(1.27523))",NA,NA,TRUE,"Biomass=0+0*(DBH^2)+1.69699*((DBH^2)^(1.27523))",243,"Stem + branches (live)","Individual","Gulf and Atlantic Coastal Plains plot 9","United States","Temperate coniferous forests","Clark; A; I;  Phillips; D;  Frederick; D; 1985; Weight; volume; and physical properties of major hardwood species in the Gulf and Atlantic Coastal Plains; Res; Pap; SE-250; Asheville; NC; U;S; Department of Agriculture; Forest Service; Southeastern Fores"
