"","family","genus","species","meanWD","sdWD","levelWD","nInd"
"24482","Malvaceae","Sterculia",NA,0.404821666666667,0.0941339098036177,"genus",40
"24484","Malvaceae","Sterculia",NA,0.404821666666667,0.0941339098036177,"genus",40
"24496","Malvaceae","Sterculia",NA,0.404821666666667,0.0941339098036177,"genus",40
"24520","Malvaceae","Sterculia",NA,0.404821666666667,0.0941339098036177,"genus",40
"24501","Malvaceae","Sterculia",NA,0.404821666666667,0.0941339098036177,"genus",40
"24497","Malvaceae","Sterculia",NA,0.404821666666667,0.0941339098036177,"genus",40
"24479","Malvaceae","Sterculia",NA,0.404821666666667,0.0941339098036177,"genus",40
"24508","Malvaceae","Sterculia",NA,0.404821666666667,0.0941339098036177,"genus",40
"24492","Malvaceae","Sterculia",NA,0.404821666666667,0.0941339098036177,"genus",40
"24505","Malvaceae","Sterculia",NA,0.404821666666667,0.0941339098036177,"genus",40
"24503","Malvaceae","Sterculia",NA,0.404821666666667,0.0941339098036177,"genus",40
"24483","Malvaceae","Sterculia",NA,0.404821666666667,0.0941339098036177,"genus",40
"24478","Malvaceae","Sterculia",NA,0.404821666666667,0.0941339098036177,"genus",40
"24487","Malvaceae","Sterculia",NA,0.404821666666667,0.0941339098036177,"genus",40
"24486","Malvaceae","Sterculia",NA,0.404821666666667,0.0941339098036177,"genus",40
"24509","Malvaceae","Sterculia",NA,0.404821666666667,0.0941339098036177,"genus",40
"24499","Malvaceae","Sterculia",NA,0.404821666666667,0.0941339098036177,"genus",40
