"","LAT","LON","binomial","levelWD","biomass","DBH","quantity","biomass_portion","DBH_portion","abundacne_frequency"
"116",-0.992033849531824,28.3575187101779,"Newtonia buchananii","species",3.98429050623838,210.281777076316,7,0.0114909664570756,0.0118947790812106,0.011686143572621
"119",-0.992033849531824,28.3575187101779,"Ocotea usambarensis","species",4.52659924539579,235.289452844246,8,0.0130550219699152,0.0133093608996156,0.013355592654424
"121",-0.992033849531824,28.3575187101779,"Parinari excelsa","species",2.89186184904688,116.554499804995,4,0.00834032745701251,0.00659301079426518,0.00667779632721202
"123",-0.992033849531824,28.3575187101779,"Polyscias fulva","species",4.18572128823401,428.372818694312,14,0.0120719066158592,0.0242312962806809,0.0233722871452421
"127",-0.992033849531824,28.3575187101779,"Pouteria altissima","species",0.284001324911812,23.9740040448847,1,0.000819079254692128,0.00135611124164344,0.00166944908180301
"129",-0.992033849531824,28.3575187101779,"Prunus africana","species",13.2686446154432,551.30506781861,19,0.0382676790179295,0.0311850702387504,0.0317195325542571
"131",-0.992033849531824,28.3575187101779,"Sapium ellipticum","species",33.0022180234365,1570.38453413545,52,0.0951806550558074,0.0888302227886907,0.0868113522537563
"135",-0.992033849531824,28.3575187101779,"Strombosia scheffleri","species",4.01373561042085,180.703235867276,6,0.0115758881524078,0.0102216421212812,0.010016694490818
"137",-0.992033849531824,28.3575187101779,"Syzygium guineense","species",9.16398391377515,447.861544005992,16,0.0264295566805414,0.0253336936704114,0.0267111853088481
"2",-0.875030976841072,28.3763082592924,"Cyathea manniana","dataset",1.1244490471967,58.7284336812497,2,0.00512393793895714,0.00536438414483811,0.00543478260869565
"4",-0.875030976841072,28.3763082592924,"Dichaetanthera corymbosa","dataset",3.51117415926507,159.79011446642,5,0.0159998699183362,0.0145955800762179,0.0135869565217391
"6",-0.875030976841072,28.3763082592924,"Leptonychia mildbraedii","dataset",10.883884595036,574.753301565367,20,0.0495961549691994,0.052499229161206,0.0543478260869565
"10",-0.875030976841072,28.3763082592924,"Pauridiantha callicarpoides","dataset",1.55288349630594,66.9461748966861,2,0.00707624652387698,0.00611501067987789,0.00543478260869565
"11",-0.875030976841072,28.3763082592924,"Ritchiea albersii","dataset",0.627546384768285,30.7146978474252,1,0.00285963044513758,0.00280554797426559,0.00271739130434783
"12",-0.875030976841072,28.3763082592924,"Rytigynia kigeziensis","dataset",0.407031403146283,25.8083459489218,1,0.00185477826152079,0.00235739101376876,0.00271739130434783
"14",-0.875030976841072,28.3763082592924,"Rytigynia ruwenzoriensis","dataset",2.96758661713318,131.409936476246,4,0.0135228267502016,0.0120032722740982,0.0108695652173913
"18",-0.875030976841072,28.3763082592924,"Xymalos monospora","dataset",11.126447036286,545.264067006852,18,0.0507014739682111,0.0498056176958006,0.0489130434782609
"22",-0.875030976841072,28.3763082592924,"unknown sppTEAM2","dataset",2.62921702766036,125.116570717509,4,0.011980929604029,0.0114284224206682,0.0108695652173913
"25",-0.875030976841072,28.3763082592924,"unknown sppTEAM9","dataset",11.8333122871682,578.159800644886,19,0.0539225480451161,0.052810386270397,0.0516304347826087
"28",-0.875030976841072,28.3763082592924,"Albizia sppTEAM1","genus",0.782134586800665,49.9007750437597,2,0.00356406463473792,0.00455804641262453,0.00543478260869565
"32",-0.875030976841072,28.3763082592924,"Cassipourea sppTEAM1","genus",4.06551944472856,174.805623716153,6,0.0185259344354877,0.015967129676589,0.016304347826087
"34",-0.875030976841072,28.3763082592924,"Chrysophyllum sppTEAM5","genus",0.867537870451703,32.2206811833349,1,0.00395323400288495,0.00294310780045457,0.00271739130434783
"36",-0.875030976841072,28.3763082592924,"Drypetes sppTEAM3","genus",4.08424606566859,170.181766914096,6,0.0186112687098529,0.015544776438776,0.016304347826087
"39",-0.875030976841072,28.3763082592924,"Drypetes ugandensis","genus",2.89764958957049,117.182218896776,4,0.0132041346851767,0.0107036812954798,0.0108695652173913
"41",-0.875030976841072,28.3763082592924,"Ficus natelensis","genus",0.33382502301373,26.3501682415406,1,0.00152118826963093,0.00240688225223121,0.00271739130434783
"43",-0.875030976841072,28.3763082592924,"Ficus sur","genus",1.32441672176786,86.6755624277559,3,0.00603515926717531,0.00791713627773506,0.00815217391304348
"44",-0.875030976841072,28.3763082592924,"Funtumia sppTEAM1","genus",0.916642074893469,58.8807627540672,2,0.00417699416056283,0.00537829821697998,0.00543478260869565
"47",-0.875030976841072,28.3763082592924,"Macaranga barteri","genus",17.4225824161973,1171.89503470258,39,0.0793919753496353,0.107043466844241,0.105978260869565
"50",-0.875030976841072,28.3763082592924,"Millettia dura","genus",27.0704964374655,1065.2556205059,36,0.123356006275373,0.0973027884901004,0.0978260869565217
"53",-0.875030976841072,28.3763082592924,"Millettia ferruginea","genus",1.53134413180548,59.1055292029861,2,0.00697809501828403,0.00539882887818263,0.00543478260869565
"55",-0.875030976841072,28.3763082592924,"Podocarpus milanjianus","genus",0.855611493065055,54.134007806486,2,0.00389888737177871,0.00494471919257692,0.00543478260869565
"59",-0.875030976841072,28.3763082592924,"Psychotria mahonii","genus",9.42293746759809,464.886632233317,16,0.0429388480580932,0.0424637662334897,0.0434782608695652
"63",-0.875030976841072,28.3763082592924,"Tabernaemontana holstii","genus",0.92123430350297,54.4211078851718,2,0.00419792022604819,0.00497094354445463,0.00543478260869565
