"","GFBIRawName","family","genus","species","meanWD","sdWD","levelWD","nInd"
"14495","Magnolia macrophylla","Magnoliaceae","Magnolia","macrophylla",0.504583333333333,0.0941339098036177,"genus",20
"14496","Magnolia obovata","Magnoliaceae","Magnolia","obovata",0.504583333333333,0.0941339098036177,"genus",20
"14497","Magnolia ovata","Magnoliaceae","Magnolia","ovata",0.525,0.0708232617216773,"species",2
"14498","Magnolia pealiana","Magnoliaceae","Magnolia","pealiana",0.504583333333333,0.0941339098036177,"genus",20
"14499","Magnolia poasana","Magnoliaceae","Magnolia","poasana",0.45,0.0708232617216773,"species",1
"14500","Magnolia portoricensis","Magnoliaceae","Magnolia","portoricensis",0.7,0.0708232617216773,"species",1
"14501","Magnolia rabaniana","Magnoliaceae","Magnolia","rabaniana",0.504583333333333,0.0941339098036177,"genus",20
"14502","Magnolia sieboldii","Magnoliaceae","Magnolia","sieboldii",0.504583333333333,0.0941339098036177,"genus",20
"14503","Magnolia splendens","Magnoliaceae","Magnolia","splendens",0.59,0.0708232617216773,"species",1
"14504","Magnolia sppGenting1","Magnoliaceae","Magnolia",NA,0.504583333333333,0.0941339098036177,"genus",20
"14505","Magnolia sppRAINFOR1","Magnoliaceae","Magnolia",NA,0.504583333333333,0.0941339098036177,"genus",20
"14506","Magnolia sppUS1","Magnoliaceae","Magnolia",NA,0.504583333333333,0.0941339098036177,"genus",20
"14507","Magnolia tripetala","Magnoliaceae","Magnolia","tripetala",0.504583333333333,0.0941339098036177,"genus",20
"14508","Magnolia virginiana","Magnoliaceae","Magnolia","virginiana",0.42,0.0708232617216773,"species",1
"14509","Magnoliaceae sppIN1",NA,"Magnoliaceae",NA,0.611226809845203,0.143078472955927,"dataset",20772
"14510","Magnoliophyta sppDK1",NA,"No","suitable",0.611226809845203,0.143078472955927,"dataset",20772
"14511","Magnoliophyta sppES1",NA,"No","suitable",0.611226809845203,0.143078472955927,"dataset",20772
"14512","Magnoliophyta sppEU1",NA,"No","suitable",0.611226809845203,0.143078472955927,"dataset",20772
"14513","Magnoliophyta sppEU2",NA,"No","suitable",0.611226809845203,0.143078472955927,"dataset",20772
