"","V1","PLT","TPH","FID","LAT","LON","SPCD","DBH","Year","WWF_Biome"
"136",33231,"GAB-RLE20",1,138992,-1.3987,13.73054,"Heisteria parviflora",16.39999962,2004,7
"137",33232,"GAB-RLE20",1,138991,-1.3987,13.73054,"Heisteria parviflora",17,2006,7
"138",33233,"GAB-RLE20",1,139010,-1.3987,13.73054,"Hymenostegia pellegrinii",11.60000038,2004,7
"139",33234,"GAB-RLE20",1,139009,-1.3987,13.73054,"Hymenostegia pellegrinii",12.19999981,2006,7
"140",33235,"GAB-RLE20",1,139153,-1.3987,13.73054,"Isolona hexaloba",20.09000015,2004,7
"141",33236,"GAB-RLE20",1,139152,-1.3987,13.73054,"Isolona hexaloba",22,2006,7
"142",33237,"GAB-RLE20",1,139197,-1.3987,13.73054,"Klaineanthus gaboniae",11.80000019,2004,7
"143",33238,"GAB-RLE20",1,139194,-1.3987,13.73054,"Klaineanthus gaboniae",12.60000038,2006,7
"144",33239,"GAB-RLE20",1,139228,-1.3987,13.73054,"Klainedoxa gabonensis",16,2004,7
"145",33240,"GAB-RLE20",1,139224,-1.3987,13.73054,"Klainedoxa gabonensis",17.60000038,2006,7
"146",33241,"GAB-RLE20",1,139391,-1.3987,13.73054,"Mammea africana",10.39999962,2003,7
"147",33242,"GAB-RLE20",1,139390,-1.3987,13.73054,"Mammea africana",10.5,2004,7
"148",33243,"GAB-RLE20",1,139389,-1.3987,13.73054,"Mammea africana",10.60000038,2006,7
"149",33244,"GAB-RLE20",1,139388,-1.3987,13.73054,"Mammea africana",10.80000019,2004,7
"150",33245,"GAB-RLE20",1,139387,-1.3987,13.73054,"Mammea africana",10.89999962,2004,7
"151",33246,"GAB-RLE20",1,139386,-1.3987,13.73054,"Mammea africana",11.5,2006,7
"152",33247,"GAB-RLE20",1,139384,-1.3987,13.73054,"Mammea africana",12.02000046,2004,7
"153",33248,"GAB-RLE20",1,139383,-1.3987,13.73054,"Mammea africana",12.19999981,2006,7
"154",33249,"GAB-RLE20",1,139382,-1.3987,13.73054,"Mammea africana",12.30000019,2006,7
"155",33250,"GAB-RLE20",1,139381,-1.3987,13.73054,"Mammea africana",12.5,2006,7
"156",33251,"GAB-RLE20",1,139380,-1.3987,13.73054,"Mammea africana",12.69999981,2006,7
"157",33252,"GAB-RLE20",1,139379,-1.3987,13.73054,"Mammea africana",12.80000019,2004,7
"158",33253,"GAB-RLE20",1,139378,-1.3987,13.73054,"Mammea africana",12.89999962,2006,7
"159",33254,"GAB-RLE20",1,139377,-1.3987,13.73054,"Mammea africana",13.02999973,2004,7
"160",33255,"GAB-RLE20",1,139374,-1.3987,13.73054,"Mammea africana",14.02000046,2004,7
"161",33256,"GAB-RLE20",1,139373,-1.3987,13.73054,"Mammea africana",14.05000019,2004,7
"162",33257,"GAB-RLE20",1,139370,-1.3987,13.73054,"Mammea africana",14.39999962,2006,7
"163",33258,"GAB-RLE20",1,139375,-1.3987,13.73054,"Mammea africana",14,2004,7
"164",33259,"GAB-RLE20",1,139368,-1.3987,13.73054,"Mammea africana",15.05000019,2004,7
"165",33260,"GAB-RLE20",1,139367,-1.3987,13.73054,"Mammea africana",15.30000019,2006,7
"166",33261,"GAB-RLE20",1,139366,-1.3987,13.73054,"Mammea africana",15.39999962,2004,7
"167",33262,"GAB-RLE20",1,139369,-1.3987,13.73054,"Mammea africana",15,2006,7
"168",33263,"GAB-RLE20",1,139365,-1.3987,13.73054,"Mammea africana",16.06999969,2004,7
"169",33264,"GAB-RLE20",1,139364,-1.3987,13.73054,"Mammea africana",16.07999992,2004,7
"170",33265,"GAB-RLE20",1,139363,-1.3987,13.73054,"Mammea africana",16.20000076,2006,7
"171",33266,"GAB-RLE20",1,139359,-1.3987,13.73054,"Mammea africana",16.5,2006,7
"172",33267,"GAB-RLE20",1,139360,-1.3987,13.73054,"Mammea africana",16.5,2004,7
"173",33268,"GAB-RLE20",1,139357,-1.3987,13.73054,"Mammea africana",16.60000038,2004,7
"174",33269,"GAB-RLE20",1,139358,-1.3987,13.73054,"Mammea africana",16.60000038,2006,7
"175",33270,"GAB-RLE20",1,139355,-1.3987,13.73054,"Mammea africana",17.09000015,2004,7
"176",33271,"GAB-RLE20",1,139353,-1.3987,13.73054,"Mammea africana",17.10000038,2004,7
